id,question,A,B,C,D,E,answer,category,macro category
1,"Una donna di 42 anni, senza precedenti anamnestici importanti eccezion fatta per un taglio cesareo 12 anni prima,viene ricoverata d'urgenza per intensi dolori colici, vomito, distensione addominale ed alvo chiuso a feci e gas. La diretta addome in piedi evidenzia la presenza di livelli idro-aerei del piccolo intestino. Verso quale causa di ostruzione intestinale ti orienti?",Adenocarcinoma,Malattia di Crohn,Sindrome aderenziale,Ileo biliare,Colite Ulcerosa,C,Area Clinica 2017,chirurgia generale
2,"Un paziente viene sottoposto ad intervento chirurgico per un sospetto di appendicite acuta. Al momento dell'intervento l'appendice ed il cieco risultano normali. L'ileo terminale per una lunghezza di circa 30 cm appare arrossato, edematoso ed ispessito con scorrimento del grasso mesenteriale sull'ileo, tale da far ipotizzare una diagnosi di morbo di Crohn. Non c'è dilatazione dell'intestino prossimalmente all'area interessata. Il resto dell'intestino tenue appare indenne. La condotta chirurgica più appropriata è:",chiusura dell'addome,appendicectomia profilattica,ileostomia prossimale al tratto interessato,ileo-trasversostomia latero-laterale,emicolectomia destra,B,Area Clinica 2017,chirurgia generale
3,"Il trattamento chirurgico delle metastasi epatiche trova indicazione, con buona prospettiva prognostica, solo se:",il tumore primitivo e' <3 cm,il numero delle metastasi e' <2,la grandezza delle metastasi non deve superare i 3 cm,il numero delle metastasi è di 3,la grandezza non deve essere superiore a 5 cm,B,Area Clinica 2017,chirurgia generale
4,"Quale, fra le seguenti, rappresenta l'indagine più adatta per la localizzazione dell'insulinoma?",splenoportografia,colangiografia retrograda,ecografia,arteriografia selettiva,scintigrafia,D,Area Clinica 2017,chirurgia generale
5,Il linfonodo sentinella è quello che:,Viene scoperto alla prima visita medica,E' clinicamente più vicino al tumore,Si presenta metastatico all'esame estemporaneo,E' il primo linfonodo di drenaggio della linfa peritumorale,E' il linfonodo positivo più lontano dalla sede della neoplasia,D,Area Clinica 2017,chirurgia generale
6,Si definisce ernia interna:,"la dislocazione anomala dell'omento in recessi naturali o neoformati del cavo peritoneale AREA CLINICA Pag. 2/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",la dislocazione anomala di uno o più visceri in recessi naturali o neoformati del cavo peritoneale,la presenza di ernie in stadio assolutamente iniziale,la presenza di laparocele in stadio assolutamente iniziale,la presenza di un'ernia inguinale a livello dell'anello inguinale interno,B,Area Clinica 2017,chirurgia generale
7,"La comparsa dopo il pasto, in un paziente gastroresecato, di ipersudorazione, senso di calore, nausea, lipotimia, cefalea, deve far pensare a:",pancreatite acuta,dumping syndrome,stenosi pilorica,degenerazione neoplastica,ulcera anastomotica,B,Area Clinica 2017,chirurgia generale
8,"Il sistema anastomotico portale include tutte le seguenti vene, tranne:",gastrica sinistra,paraombellicale,renale sinistra,emorroidaria superiore,mesenterica inferiore,C,Area Clinica 2017,chirurgia generale
9,La pancreatite acuta deve essere trattata chirurgicamente,In tutti i casi,In caso di necrosi,In caso di persistenza dell'iperamilasemia,In caso di necrosi infetta,Quando la P.C.R. è superiore a 20,D,Area Clinica 2017,chirurgia generale
10,"Un paziente di 60 anni presenta da tempo tosse stizzosa e febbricola irregolare. Il primo esame che è necessario richiedere, al fine di stabilire la diagnosi è:",radiografia del torace,esame citologico dell'espettorato,tine test,broncoscopia,emocromo,A,Area Clinica 2017,chirurgia generale
11,Il lobo di Spigelio o lobo caudato del fegato corrisponde al:,I segmento,II segmento,VI segmento,VII segmento,V segmento,A,Area Clinica 2017,chirurgia generale
12,"Di quale arteria e' ramo l'arteria emorroidaria superiore AREA CLINICA Pag. 3/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Arteria pudenda,Arteria ipogastrica,Arteria iliaca sinistra,Arteria sigmoidea,Arteria mesenterica inferiore,E,Area Clinica 2017,chirurgia generale
13,Nella frattura del collo del femore l'arto si presenta clinicamente:,extraruotato ed accorciato,extraruotato ed allungato,intraruotato ed allungato,intraruotato ed accorciato,dritto ed allungato,A,Area Clinica 2017,chirurgia generale
14,Quale dei seguenti fattori predispone all'insorgenza di una neoplasia del colon-retto?,il fumo di sigaretta,il diabete,l'alcolismo,la familiarità,l'ipertensione portale,D,Area Clinica 2017,chirurgia generale
15,Quale di queste indagini strumentali e' piu' utile per porre diagnosi di colecistite acuta?,ecografia,TAC,radiografia dell'addome,colangiografia retrograda,gastroscopia,A,Area Clinica 2017,chirurgia generale
16,Quale dei seguenti esami è più utile per la diagnosi di neoplasia del bronco principale del polmone?,radiografia standard del torace,scintigrafia polmonare,stratigrafia,broncoscopia,broncografia,D,Area Clinica 2017,chirurgia generale
17,Da che cosa è sostenuta la sindrome da iperparatiroidismo primario nel 90% dei casi:,Adenoma multiplo,Adenoma singolo,Iperplasia diffusa,Ipertrofia diffusa,Adenocarcinoma,B,Area Clinica 2017,chirurgia generale
18,"Quale dei seguenti esami strumentali è più utile per effettuare diagnosi di bronchiettasie? AREA CLINICA Pag. 4/578 Ministero dell Istruzione, dell  Università e della Ricerca, ,",radiografia standard del torace,scintigrafia polmonare,stratigrafia,broncoscopia,broncografia,E,Area Clinica 2017,chirurgia generale
