id,question,A,B,C,D,E,answer,category,macro category
1,In una polmonite da Staphylococcus aureus meticillino-resistente l'antibiotico di scelta è:,vancomicina,oxacillina,gentamicina,piperacillina,claritromicina,A,Area Preclinica 2016,farmacologia
2,I farmaci ipoglicemizzanti orali della classe delle sulfaniluree:,sono sempre impiegati in monoterapia,stimolano la secrezione di insulina e possono causare una grave ipoglicemia,sono indicati nel diabete giovanile (tipo I),"a differenza delle biguanidi, non necessitano della presenza di cellule beta pancreatiche funzionanti",possono antagonizzare l'effetto ipoglicemizzante delle biguanidi,B,Area Preclinica 2016,farmacologia
3,"Quale tra i seguenti farmaci antidiabetici, determina ipoglicemia indirettamente?",glipizide,clorpropamide,tolbutamide,metformina,Insulina Lantus,D,Area Preclinica 2016,farmacologia
4,Nello shock emorragico il trattamento iniziale consiste nell'infusione di:,cristalloidi,colloidi non proteici,albumina,mannitolo,protamina solfato,A,Area Preclinica 2016,farmacologia
5,Indicare quale dei seguenti farmaci antitumorali non è un antimetabolita:,cisplatino,metotressato,5-fluorouracile,citarabina,6-mercaptopurina,A,Area Preclinica 2016,farmacologia
6,Quale tra i seguenti farmaci può causare una grave agranulocitosi ?,clozapina,nizatidina,"aloperidolo AREA PRE-CLINICA Pag. 2/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",olanzapina,codeina,A,Area Preclinica 2016,farmacologia
7,"A proposito di un farmaco diuretico (ovvero in grado di indurre negativizzazione del bilancio idroelettrolitico), quale tra i seguenti può considerarsi indice diretto della sua attività?",riduzione della pressione arteriosa.,riduzione dell'edema.,riduzione dell'incidenza di infarti del miocardio.,riduzione della mortalità.,aumento dell'escrezione di sodio.,E,Area Preclinica 2016,farmacologia
8,"Quali dei seguenti farmaci NON possono determinare, in seguito ad uso prolungato, tolleranza ?",betabloccanti,statine,diuretici dell'ansa,benzodiazepine,oppiacei,B,Area Preclinica 2016,farmacologia
9,Quale delle seguenti condizioni può essere indicazione al trattamento farmacologico con inibitori delle monoamine ossidasi di tipo B (MAO B)?,ipertensione che non risponde al trattamento con beta-bloccanti,vomito da chemioterapici,shock anafilattico,schizofrenia,malattia di Parkinson,E,Area Preclinica 2016,farmacologia
10,Quale delle seguenti affermazioni riguardanti le interazioni tra farmaci è corretta?,Le interazioni tra farmaci non determinano variazione della risposta farmacologica,in seguito a un'interazione tra farmaci non può verificarsi una variazione della durata della risposta farmacologica,un farmaco non può modificare la biodisponibilità di un altro farmaco,un farmaco può interferire con l'escrezione di un altro farmaco,un farmaco non può interferire con il metabolismo di un altro farmaco,D,Area Preclinica 2016,farmacologia
11,A quale classe di farmaci appartiene il salbutamolo?,agonisti beta2-adrenergici,beta-bloccanti,Antiserotoninergico,Antistaminici,Anticolinergici,A,Area Preclinica 2016,farmacologia
12,Tutte le beta lattamine indicate sono resistenti alle beta lattamasi TRANNE,oxacillina,"flucloxacillina AREA PRE-CLINICA Pag. 3/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",penicillina V,imipenem,nafcillina,C,Area Preclinica 2016,farmacologia
13,Quali dei seguenti è un uso appropriato dell'imipramina?,insonnia,epilessia,enuresi notturna dell'adolescente,glaucoma,mania,C,Area Preclinica 2016,farmacologia
14,Quale dei seguenti antibiotici rappresenta una possibile alternativa alla rifampicina nei protocolli di associazione utilizzati nella terapia della tubercolosi polmonare?,Vancomicina,Ossitetraciclina,Ofloxacina,Cloramfenicolo,Ampicillina,C,Area Preclinica 2016,farmacologia
15,L'inibizione enzimatica,richiede un contatto ripetuto o protratto del farmaco con l'enzima,è un fenomeno di interesse tossicologico ma non terapeutico,è un fenomeno privo di interesse pratico,determina gli effetti farmacologici e terapeutici di numerosi farmaci,è sempre irreversibile,D,Area Preclinica 2016,farmacologia
16,Quale dei sottoelencati antibiotici è attivo nei confronti dello haemophilus?,Bacitracina,Teicoplanina,Cicloserina,Ampicillina,Penicillina G,D,Area Preclinica 2016,farmacologia
17,"Indicare quale, tra quelli elencati, rappresenta un vantaggio della via di somministrazione sublinguale:",permette un accurato controllo della posologia,la biodisponibilità è costante,i farmaci raggiungono prima il circolo ematico evitando gli effetti da primo passaggio,presenta un basso rischio di effetti indesiderati,facilita l'assorbimento dei farmaci scarsamente liposolubili,C,Area Preclinica 2016,farmacologia
18,Quale delle seguenti affermazioni relative all'antagonismo competitivo è corretta?,Il legame dell'antagonista e dell'agonista con il recettore si escludono mutuamente,"E' sempre irreversibile AREA PRE-CLINICA Pag. 4/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",L'agonista e l'antagonista possono legarsi al recettore contemporaneamente,Può essere allosterico,In presenza di un antagonista competitivo la potenza apparente dell'agonista aumenta,A,Area Preclinica 2016,farmacologia
19,Quale dei seguenti farmaci NON determina nefrotossicità?,amfotericina B,cis-platino,gentamicina,amoxicillina,vancomicina,D,Area Preclinica 2016,farmacologia
20,In quale delle seguenti condizioni il trattamento con corticoisteroidi NON è indicato?,Herpes simplex oculare,Stato asmatico,Sindrome nefrosica,Collagenopatie,Insufficienza renale cronica,A,Area Preclinica 2016,farmacologia
21,Quale tra i seguenti NON è un effetto indesiderato dell'aloperidolo?,disfunzione sessuale,stipsi,segni extrapiramidali,agranulocitosi,ipertensione,E,Area Preclinica 2016,farmacologia
22,Quale tra i seguenti farmaci NON è un agonista beta-adrenergico?,adrenalina,isoproterenolo,noradrenalina,fentolamina,dobutamina,D,Area Preclinica 2016,farmacologia
23,Quale tra le seguenti classi di farmaci NON è utilizzata nella cardiopatia ischemica?,cortisonici,nitroderivati,beta-bloccanti,ACE inibitori,antiaggreganti piastrinici,A,Area Preclinica 2016,farmacologia
24,Indicare quale tra i seguenti effetti non è compreso tra quelli indotti dai glucocorticoidi:,alterata distribuzione di tessuto adiposo,"aumento della sintesi proteica a livello cutaneo AREA PRE-CLINICA Pag. 5/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",inibizione della sintesi dei leucotrieni,aumento della glicemia,immunosoppressione,B,Area Preclinica 2016,farmacologia
25,"In assenza di agonisti, il pindololo causa un aumento della frequenza cardiaca mediato dall'attivazione dei recettori beta. Tuttavia, in presenza di stimolanti del recettore beta, il pindololo causa una riduzione reversibile e dose-dipendente della frequenza cardiaca . Pertanto il pindololo è un:",Antagonista non-competitivo,Antagonista fisiologico,Agonista inverso,Agonista parziale,Agonista solo dei recettori soprannumerari,D,Area Preclinica 2016,farmacologia
26,"I farmaci per la terapia dell'asma vengono somministrati per via inalatoria allo scopo di minimizzarne gli effetti sistemici. Tutti i seguenti farmaci sono efficaci quando somministrati per questa via, tranne:",Ipratropio bromuro,Salmeterolo,Fluticasone,Aminofillina,Nedocromile,D,Area Preclinica 2016,farmacologia
27,"Nel caso in cui sia necessario sottoporre a trattamento farmacologico con FANS un soggetto con pregressa ulcera peptica, è opportuno un trattamento combinato con:",diuretici per facilitare l'eliminazione dei FANS,analoghi delle prostaglandine come protettori della mucosa gastrica,glucocorticoidi per ridurre la dose dei FANS,antispastici per prevenire gli spasmi dello sfintere esofageo,calcio-antagonisti per ridurre la gastrolesività dei FANS,B,Area Preclinica 2016,farmacologia
28,Quale dei seguenti diuretici è il più appropriato nel trattare l'ipercalciuria?,Furosemide,Triamterene,Mannitolo,Acetazolamide,Idroclorotiazide,E,Area Preclinica 2016,farmacologia
29,Quale dei seguenti farmaci è un beta bloccante selettivo?,Practololo,Atenololo,Sotalolo,Propranololo,Pindololo,B,Area Preclinica 2016,farmacologia
30,"Cosa si intende per farmacovigilanza? AREA PRE-CLINICA Pag. 6/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",L'osservatorio nazionale per il monitoraggio della spesa farmaceutica,La fase IV della sperimentazione clinica dei farmaci (fase post-marketing),La valutazione dell'efficacia clinica dei nuovi farmaci,L'ente europeo responsabile dell'autorizzazione all'uso clinico dei nuovi farmaci,L'ultima fase della sperimentazione preclinica dei farmaci,B,Area Preclinica 2016,farmacologia
31,Quale dei farmaci riportati è responsabile di tossicità renale ?,bicarbonato di sodio,cimetidina,ciclosporina,azitromicina,diazepam,C,Area Preclinica 2016,farmacologia
32,La succinilcolina è utilizzata come:,ganglioplegico,vagolitico,bloccante dei recettori alfa adrenergici,bloccante neuromuscolare,bloccante dei recettori muscarinici,D,Area Preclinica 2016,farmacologia
33,Nella sperimentazione clinica gli 'endpoint' sono,variabili predefinite utilizzate per valutare gli effetti del trattamento.,termini entro i quali è necessario concludere la sperimentazione.,accordi tra lo sponsor e lo sperimentatore.,primitivi e derivati.,variabili che al termine della sperimentazione si dimostrano le migliori per dimostrare gli effetti del trattamento.,A,Area Preclinica 2016,farmacologia
34,A quale delle classi di farmaci indicate appartiene l'amiloride?,Un diuretico dell'ansa,Un risparmiatore di potassio,Un diuretico tiazidico,Un inibitore dell'anidrasi carbonica,Un diuretico osmotico,B,Area Preclinica 2016,farmacologia
35,Quale tra i seguenti farmaci NON è utilizzato nell'ipertiroidismo?,metimazolo,propiltiouracile,carbamazepina,carbimazolo,iodio,C,Area Preclinica 2016,farmacologia
36,"L'emivita (t ½) di un farmaco è: AREA PRE-CLINICA Pag. 7/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",Direttamente proporzionale alla clearance totale,Inversamente proporzionale al volume di distribuzione,Direttamente proporzionale al volume di distribuzione,Dipende dalla biodisponibilità,Può ridursi a dosi tossiche,C,Area Preclinica 2016,farmacologia
37,"I farmaci nitroderivati diminuiscono il lavoro del cuore, e quindi la richiesta di ossigeno da parte del miocardio, in quanto:",riducono la frequenza cardiaca,riducono le resistenze vascolari del letto coronarico,riducono il flusso di sangue agli organi periferici,diminuiscono il ritorno di sangue venoso al cuore,riducono la forza di contrazione del miocardio,D,Area Preclinica 2016,farmacologia
38,"Quale di questi farmaci può essere considerato un agente di prima scelta per la terapia ambulatoriale del paziente con  scompenso cardiaco?",Dobutamina,Amrinone,Enalapril,Digitossina,Sodio nitroprussiato,C,Area Preclinica 2016,farmacologia
39,In un paziente con ipoacusia e/o vertigini NON si dovrebbero somministrare:,penicilline,cefalosporine,aminoglicosidi,carbapenici,macrolidi,C,Area Preclinica 2016,farmacologia
40,In un paziente in terapia con simvastatina  la contemporanea assunzione di claritromicina  puo' determinare :,gastralgia,comparsa di miopatia e rabdomiolisi,disturbi dell'accomodazione,cefalea,vertigini,B,Area Preclinica 2016,farmacologia
41,Cosa si intende per tolleranza?,Necessità di aumentare la dose per ottenere l'effetto terapeutico,Necessità impellente di assumere il farmaco,Mancanza di effetto anche aumentando la dose,Aumento dell'effetto mantenendo la dose immodificata,Presenza di polimorfismi a carico del sito target,A,Area Preclinica 2016,farmacologia
42,"Quale tra i seguenti farmaci è controindicato nei pazienti asmatici? AREA PRE-CLINICA Pag. 8/558 Ministero dell Istruzione, dell  Università e della Ricerca, ,",salbuterolo,digossina,propranololo,bretilio,lidocaina,C,Area Preclinica 2016,farmacologia
