id,question,A,B,C,D,E,answer,category,macro category
1,in una polmonite da staphylococcus aureus meticillino-resistente l'antibiotico di scelta è:,vancomicina,oxacillina,gentamicina,piperacillina,claritromicina,A,Area Preclinica 2016,farmacologia
2,i farmaci ipoglicemizzanti orali della classe delle sulfaniluree:,sono sempre impiegati in monoterapia,stimolano la secrezione di insulina e possono causare una grave ipoglicemia,sono indicati nel diabete giovanile (tipo i),"a differenza delle biguanidi, non necessitano della presenza di cellule beta pancreatiche funzionanti",possono antagonizzare l'effetto ipoglicemizzante delle biguanidi,B,Area Preclinica 2016,farmacologia
3,"quale tra i seguenti farmaci antidiabetici, determina ipoglicemia indirettamente?",glipizide,clorpropamide,tolbutamide,metformina,insulina lantus,D,Area Preclinica 2016,farmacologia
4,nello shock emorragico il trattamento iniziale consiste nell'infusione di:,cristalloidi,colloidi non proteici,albumina,mannitolo,protamina solfato,A,Area Preclinica 2016,farmacologia
5,indicare quale dei seguenti farmaci antitumorali non è un antimetabolita:,cisplatino,metotressato,5-fluorouracile,citarabina,6-mercaptopurina,A,Area Preclinica 2016,farmacologia
6,quale tra i seguenti farmaci può causare una grave agranulocitosi ?,clozapina,nizatidina,aloperidolo,olanzapina,codeina,A,Area Preclinica 2016,farmacologia
7,"a proposito di un farmaco diuretico (ovvero in grado di indurre negativizzazione del bilancio idroelettrolitico), quale tra i seguenti può considerarsi indice diretto della sua attività?",riduzione della pressione arteriosa.,riduzione dell'edema.,riduzione dell'incidenza di infarti del miocardio.,riduzione della mortalità.,aumento dell'escrezione di sodio.,E,Area Preclinica 2016,farmacologia
8,"quali dei seguenti farmaci non possono determinare, in seguito ad uso prolungato, tolleranza ?",betabloccanti,statine,diuretici dell'ansa,benzodiazepine,oppiacei,B,Area Preclinica 2016,farmacologia
9,quale delle seguenti condizioni può essere indicazione al trattamento farmacologico con inibitori delle monoamine ossidasi di tipo b (mao b)?,ipertensione che non risponde al trattamento con beta-bloccanti,vomito da chemioterapici,shock anafilattico,schizofrenia,malattia di parkinson,E,Area Preclinica 2016,farmacologia
10,quale delle seguenti affermazioni riguardanti le interazioni tra farmaci è corretta?,le interazioni tra farmaci non determinano variazione della risposta farmacologica,in seguito a un'interazione tra farmaci non può verificarsi una variazione della durata della risposta farmacologica,un farmaco non può modificare la biodisponibilità di un altro farmaco,un farmaco può interferire con l'escrezione di un altro farmaco,un farmaco non può interferire con il metabolismo di un altro farmaco,D,Area Preclinica 2016,farmacologia
11,a quale classe di farmaci appartiene il salbutamolo?,agonisti beta2-adrenergici,beta-bloccanti,antiserotoninergico,antistaminici,anticolinergici,A,Area Preclinica 2016,farmacologia
12,tutte le beta lattamine indicate sono resistenti alle beta lattamasi tranne,oxacillina,flucloxacillina,penicillina v,imipenem,nafcillina,C,Area Preclinica 2016,farmacologia
13,quali dei seguenti è un uso appropriato dell'imipramina?,insonnia,epilessia,enuresi notturna dell'adolescente,glaucoma,mania,C,Area Preclinica 2016,farmacologia
14,quale dei seguenti antibiotici rappresenta una possibile alternativa alla rifampicina nei protocolli di associazione utilizzati nella terapia della tubercolosi polmonare?,vancomicina,ossitetraciclina,ofloxacina,cloramfenicolo,ampicillina,C,Area Preclinica 2016,farmacologia
15,l'inibizione enzimatica,richiede un contatto ripetuto o protratto del farmaco con l'enzima,è un fenomeno di interesse tossicologico ma non terapeutico,è un fenomeno privo di interesse pratico,determina gli effetti farmacologici e terapeutici di numerosi farmaci,è sempre irreversibile,D,Area Preclinica 2016,farmacologia
16,quale dei sottoelencati antibiotici è attivo nei confronti dello haemophilus?,bacitracina,teicoplanina,cicloserina,ampicillina,penicillina g,D,Area Preclinica 2016,farmacologia
17,"indicare quale, tra quelli elencati, rappresenta un vantaggio della via di somministrazione sublinguale:",permette un accurato controllo della posologia,la biodisponibilità è costante,i farmaci raggiungono prima il circolo ematico evitando gli effetti da primo passaggio,presenta un basso rischio di effetti indesiderati,facilita l'assorbimento dei farmaci scarsamente liposolubili,C,Area Preclinica 2016,farmacologia
18,quale delle seguenti affermazioni relative all'antagonismo competitivo è corretta?,il legame dell'antagonista e dell'agonista con il recettore si escludono mutuamente,e' sempre irreversibile,l'agonista e l'antagonista possono legarsi al recettore contemporaneamente,può essere allosterico,in presenza di un antagonista competitivo la potenza apparente dell'agonista aumenta,A,Area Preclinica 2016,farmacologia
19,quale dei seguenti farmaci non determina nefrotossicità?,amfotericina b,cis-platino,gentamicina,amoxicillina,vancomicina,D,Area Preclinica 2016,farmacologia
20,in quale delle seguenti condizioni il trattamento con corticoisteroidi non è indicato?,herpes simplex oculare,stato asmatico,sindrome nefrosica,collagenopatie,insufficienza renale cronica,A,Area Preclinica 2016,farmacologia
21,quale tra i seguenti non è un effetto indesiderato dell'aloperidolo?,disfunzione sessuale,stipsi,segni extrapiramidali,agranulocitosi,ipertensione,E,Area Preclinica 2016,farmacologia
22,quale tra i seguenti farmaci non è un agonista beta-adrenergico?,adrenalina,isoproterenolo,noradrenalina,fentolamina,dobutamina,D,Area Preclinica 2016,farmacologia
23,quale tra le seguenti classi di farmaci non è utilizzata nella cardiopatia ischemica?,cortisonici,nitroderivati,beta-bloccanti,ace inibitori,antiaggreganti piastrinici,A,Area Preclinica 2016,farmacologia
24,indicare quale tra i seguenti effetti non è compreso tra quelli indotti dai glucocorticoidi:,alterata distribuzione di tessuto adiposo,aumento della sintesi proteica a livello cutaneo,inibizione della sintesi dei leucotrieni,aumento della glicemia,immunosoppressione,B,Area Preclinica 2016,farmacologia
25,"in assenza di agonisti, il pindololo causa un aumento della frequenza cardiaca mediato dall'attivazione dei recettori beta. tuttavia, in presenza di stimolanti del recettore beta, il pindololo causa una riduzione reversibile e dose-dipendente della frequenza cardiaca . pertanto il pindololo è un:",antagonista non-competitivo,antagonista fisiologico,agonista inverso,agonista parziale,agonista solo dei recettori soprannumerari,D,Area Preclinica 2016,farmacologia
26,"i farmaci per la terapia dell'asma vengono somministrati per via inalatoria allo scopo di minimizzarne gli effetti sistemici. tutti i seguenti farmaci sono efficaci quando somministrati per questa via, tranne:",ipratropio bromuro,salmeterolo,fluticasone,aminofillina,nedocromile,D,Area Preclinica 2016,farmacologia
27,"nel caso in cui sia necessario sottoporre a trattamento farmacologico con fans un soggetto con pregressa ulcera peptica, è opportuno un trattamento combinato con:",diuretici per facilitare l'eliminazione dei fans,analoghi delle prostaglandine come protettori della mucosa gastrica,glucocorticoidi per ridurre la dose dei fans,antispastici per prevenire gli spasmi dello sfintere esofageo,calcio-antagonisti per ridurre la gastrolesività dei fans,B,Area Preclinica 2016,farmacologia
28,quale dei seguenti diuretici è il più appropriato nel trattare l'ipercalciuria?,furosemide,triamterene,mannitolo,acetazolamide,idroclorotiazide,E,Area Preclinica 2016,farmacologia
29,quale dei seguenti farmaci è un beta bloccante selettivo?,practololo,atenololo,sotalolo,propranololo,pindololo,B,Area Preclinica 2016,farmacologia
30,cosa si intende per farmacovigilanza?,l'osservatorio nazionale per il monitoraggio della spesa farmaceutica,la fase iv della sperimentazione clinica dei farmaci (fase post-marketing),la valutazione dell'efficacia clinica dei nuovi farmaci,l'ente europeo responsabile dell'autorizzazione all'uso clinico dei nuovi farmaci,l'ultima fase della sperimentazione preclinica dei farmaci,B,Area Preclinica 2016,farmacologia
31,quale dei farmaci riportati è responsabile di tossicità renale ?,bicarbonato di sodio,cimetidina,ciclosporina,azitromicina,diazepam,C,Area Preclinica 2016,farmacologia
32,la succinilcolina è utilizzata come:,ganglioplegico,vagolitico,bloccante dei recettori alfa adrenergici,bloccante neuromuscolare,bloccante dei recettori muscarinici,D,Area Preclinica 2016,farmacologia
33,nella sperimentazione clinica gli 'endpoint' sono,variabili predefinite utilizzate per valutare gli effetti del trattamento.,termini entro i quali è necessario concludere la sperimentazione.,accordi tra lo sponsor e lo sperimentatore.,primitivi e derivati.,variabili che al termine della sperimentazione si dimostrano le migliori per dimostrare gli effetti del trattamento.,A,Area Preclinica 2016,farmacologia
34,a quale delle classi di farmaci indicate appartiene l'amiloride?,un diuretico dell'ansa,un risparmiatore di potassio,un diuretico tiazidico,un inibitore dell'anidrasi carbonica,un diuretico osmotico,B,Area Preclinica 2016,farmacologia
35,quale tra i seguenti farmaci non è utilizzato nell'ipertiroidismo?,metimazolo,propiltiouracile,carbamazepina,carbimazolo,iodio,C,Area Preclinica 2016,farmacologia
36,l'emivita (t ½) di un farmaco è:,direttamente proporzionale alla clearance totale,inversamente proporzionale al volume di distribuzione,direttamente proporzionale al volume di distribuzione,dipende dalla biodisponibilità,può ridursi a dosi tossiche,C,Area Preclinica 2016,farmacologia
37,"i farmaci nitroderivati diminuiscono il lavoro del cuore, e quindi la richiesta di ossigeno da parte del miocardio, in quanto:",riducono la frequenza cardiaca,riducono le resistenze vascolari del letto coronarico,riducono il flusso di sangue agli organi periferici,diminuiscono il ritorno di sangue venoso al cuore,riducono la forza di contrazione del miocardio,D,Area Preclinica 2016,farmacologia
38,quale di questi farmaci può essere considerato un agente di prima scelta per la terapia ambulatoriale del paziente con scompenso cardiaco?,dobutamina,amrinone,enalapril,digitossina,sodio nitroprussiato,C,Area Preclinica 2016,farmacologia
39,in un paziente con ipoacusia e/o vertigini non si dovrebbero somministrare:,penicilline,cefalosporine,aminoglicosidi,carbapenici,macrolidi,C,Area Preclinica 2016,farmacologia
40,in un paziente in terapia con simvastatina la contemporanea assunzione di claritromicina puo' determinare :,gastralgia,comparsa di miopatia e rabdomiolisi,disturbi dell'accomodazione,cefalea,vertigini,B,Area Preclinica 2016,farmacologia
41,cosa si intende per tolleranza?,necessità di aumentare la dose per ottenere l'effetto terapeutico,necessità impellente di assumere il farmaco,mancanza di effetto anche aumentando la dose,aumento dell'effetto mantenendo la dose immodificata,presenza di polimorfismi a carico del sito target,A,Area Preclinica 2016,farmacologia
42,quale tra i seguenti farmaci è controindicato nei pazienti asmatici?,salbuterolo,digossina,propranololo,bretilio,lidocaina,C,Area Preclinica 2016,farmacologia
43,quale delle seguenti affermazioni sull'utilizzo degli inibitori della pompa protonica è corretta?,vengono somministrati per os come farmaci attivi,"sono acidi deboli, e quindi si accumulano negli spazi debolmente acidi",hanno un t1/2 di un'ora e quindi una durata d'azione molto breve (2h),sono importanti inbitori dell'attività del citocromo p450,sono indicati nell'ulcera duodenale e gastrica,E,Area Preclinica 2016,farmacologia
44,"i benefici, ormai stabiliti, della terapia sostitutiva con estrogeni in donne in menopausa includono una riduzione di tutte le seguenti condizioni, tranne:",osteoporosi,depressione mentale,vaginite atrofica,vampate di calore,ldl (low-density lipoprotein) colesterolo,B,Area Preclinica 2016,farmacologia
45,attraverso quale dei seguenti meccanismi d'azione agisce la metformina?,aumenta il numero di recettori dell'insulina,aumenta l'uptake del glucosio da parte dei tessuti,aumenta il rilascio di insulina dal pancreas,aumenta la lipolisi e la glicogenolisi,aumenta la produzione di acido lattico,B,Area Preclinica 2016,farmacologia
