id,question,A,B,C,D,E,answer,category,macro category
59,Quale dei seguenti farmaci viene utilizzato per la profilassi della malattia delle membrane ialine?,insulina,corticosteroidi,ormoni tiroidei,androgeni,beta 2 stimolanti,B,Area Preclinica 2017,farmacologia
60,"L'omeprazolo e' il capostipite di una categoria di farmaci usati nella terapia della malattia peptica. La sua azione farmacologica e' dovuta a: ",Antagonismo dei recettori H2,Blocco della pompa protonica,Inibizione di un antiporto Na+/H+,Attivita' chemioterapica antivirale,Attività anticolinergica,B,Area Preclinica 2017,farmacologia
65,"Tutte le seguenti condizioni rientrano tra le indicazioni alla somministrazione di iodio, tranne:",Contaminazione accidentale con isotopi radioattivi,Crisi tireotossica,Tiroidite di Hashimoto,Preparazione ad interventi chirurgici sulla tiroide,Gozzo endemico,C,Area Preclinica 2017,farmacologia
66,In caso di shock anafilattico occorre ricorrere rapidamente alla somministrazione di: ,Cardiotonici,Adrenalina e cortisonici,Diuretici,Dopamina e antistaminici,Ansiolitici,B,Area Preclinica 2017,farmacologia
71,"Tutti i seguenti farmaci sono antitubercolari, tranne:",Isoniazide,Rifampicina,Etambutolo,Azitromicina,pirazinamide,D,Area Preclinica 2017,farmacologia
72,In un paziente con asma bronchiale o BPCO il farmaco da usarsi per l'angina pectoris è: ,un beta-bloccante,verapamil,warfarin,aspirina,amlodipina,B,Area Preclinica 2017,farmacologia
77,L'associazione di trimetoprim e sulfametossazolo è efficace contro quale delle seguenti infezioni opportuniste nei pazienti con AIDS?,Herpes simplex disseminato.,Meningite criptococcica.,Pneumocistosi e Toxoplasmosi.,Candidosi orale.,Tubercolosi.,C,Area Preclinica 2017,farmacologia
78,Quale tra i seguenti fattori NON influenza il trasporto placentare di un farmaco? ,Flusso sanguigno placentare,Peso molecolare,Idrosolubilità del farmaco,Liposolubilità del farmaco,pH fetale,C,Area Preclinica 2017,farmacologia
83,Quale tra i seguenti farmaci NON ha potenziale nefrotossico?,streptomicina,amfotericina B,cis-platino,vancomicina,ciprofloxacina,E,Area Preclinica 2017,farmacologia
84,Quale dei seguenti farmaci antiipertensivi può causare tosse? ,Antagonisti alpha-1 adrenergici,Sartani,ACE inibitori,Calcio-antagonisti,Nitroderivati,C,Area Preclinica 2017,farmacologia
89,Quale tra i seguenti farmaci determina il blocco dei recettori alfa-adrenergici e riduce la pressione arteriosa?,chinidina,mazindolo,noradrenalina,prazosina,fenilefrina,D,Area Preclinica 2017,farmacologia
90,Quale dei seguenti effetti dei FANS è ridotto nel caso degli inibitori selettivi della COX-2? ,Efficacia anti-infiammatoria,Rischio di sanguinamento gastro-intestinale,Rischio di insufficienza renale acuta,Rischio di nefropatia da analgesici,Rischio di reazioni idiosincrasiche,B,Area Preclinica 2017,farmacologia
95,La streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,salmonella,streptococcus faecalis,mycobacterium tubercolosis,treponema,chlamydia,B,Area Preclinica 2017,farmacologia
96,Quale tra i seguenti farmaci può causare sindrome muscarinica: ,Inibitori delle colinesterasi,Inibitori delle COMT,Curari,Ganglioplegici,Atropina,A,Area Preclinica 2017,farmacologia
101,Il maggior vantaggio della fenossimetil penicillina nei confronti della benzil penicillina è che:,E' più resistente alla penicillinasi,E' più rapidamente escreta con le urine,Si lega alle proteine sieriche e dei tessuti,E' più resistente in ambiente acido,Ha un più largo spettro di azione,D,Area Preclinica 2017,farmacologia
102,I seguenti sono potenziali effetti collaterali dei diuretici tiazidici: ,"Ipokalemia, iperglicemia, iperlipidemia","Ipokalemia, ototossicità, ipercalcemia","Iperkalemia, alcalosi, nausea/vomito","Aumento dell'azoto ureico plasmatico, iperkalemia, acidosi metabolica","Ipermagnesemia, ipercalcemia, febbre",A,Area Preclinica 2017,farmacologia
107,I farmaci della classe dei chinoloni:,sono impiegati esclusivamente nella terapia delle infezioni urinarie,sono inibitori della sintesi proteica delle cellule batteriche,"sono inibitori della DNA girasi, un enzima simile alla topoisomerasi II eucariota",non sono soggetti a fenomeni di resistenza batterica noti,sono impiegati solo in associazione ad altri farmaci antibatterici,C,Area Preclinica 2017,farmacologia
108,Una delle seguenti penicilline è beta lattamasi resistente. Indicare quale ,Amoxicillina,Meticillina,Piperacillina,Ticarcillina,Feneticillina,B,Area Preclinica 2017,farmacologia
149,"Le seguenti caratteristiche sono proprie dei farmaci ""generici"" tranne:",sono prodotti industrialmente.,sono utili per molteplici patologie in quanto non specifici.,sono bioequivalenti rispetto alla specialità di riferimento. ,non sono protetti da brevetto.,sono senza obbligo di prescrizione.,C,Area Preclinica 2017,farmacologia
