ID,Question,A,B,C,D,E,Answer
1,"Quali lipoproteine si possono isolare nel plasma prelevato da un soggetto
normale dopo 12 ore di digiuno?",,VL,"chilomicroni, VL","L, ed acidi grassi liberi",Nessuna di queste,E
2,"I pazienti con valvola aortica bicuspide si presentano con uno o piu' dei
seguenti problemi tranne:",,dissecazione aortica,rottura dei muscoli papillari,stenosi aortica,insufficienza aortica,E
3,"Quale tra i seguenti è il test più adatto per la valutazione funzionale globale
nel paziente con broncopneumopatia cronica ostruttiva?",,Spirometria,O2,,Test di diffusione della,E
4,In quale caso può essere utile l'uso del lipidogramma?,,per la diagnosi della disbetalipoproteinemia (o tipoIII),nella diagnosi della ipercolesterolemia familiare,per la diagnosi di ipercolesterolemia secondaria ad ipotiroidismo,in nessun caso,E
5,Gli adulti affetti da OSAS (Obstructive Sleep Apnea Syndrome) sono:,,Spesso ipertesi,Hanno enuresi notturna,Presentano spesso ipertrofia adenoidea e tonsillare,Presentano disturbi del linguaggio,E
6,"Tutte le seguenti situazioni sono compatibili con diagnosi di stenosi aortica
tranne:",,fremito aortico,soffio sistolico a forma di diamante,sincope,ampia pressione differenziale,E
7,Cosa differenzia l'anoressia nervosa dalla bulimia nervosa:,,L'iperattività,La frequenza delle abbuffate,La durata delle abbuffate,Il peso corporeo,E
8,"Quale dei seguenti tipi di incontinenza urinaria persistente è nettamente più
frequente nel sesso femminile?",,,,Funzionale,Mista,E
9,Non e' tra le attivita' della trombina:,ttivazione della proteina,clivaggio del fattore V,,,,E
10,"Quale è la frequenza stimata della Iperlipemia Familiare Combinata (FCHL)
nella popolazione generale?",,1-2%,10-20%,50%,Non è nota,E
11,Nell'edema polmonare acuto quale tra i presidi terapeutici è il più indicato:,ntibiotico terapia empirica,etabloccanti,arvedilolo,Verapamile,Ventilazione non invasiva,E
12,L'altezza è un tratto,,dicotomico,dominante,recessivo,legato al sesso,E
13,"Il fenomeno di Raynaud e' stato associato a tutte le seguenti patologie
tranne:",,sclerodermia,trauma occupazionale nei pianisti,crioglobulinemia,ipertiroidismo,E
14,"Un valore di colesterolemia totale compresa tra 250e 300 mg/dl suggerisce
la presenza di:",,dislipidemia mista,ipercolesterolemia comune,ipertrigliceridemia familiare,nessuna delle precedenti,E
15,Quale di questi farmaci è usato come immunosoppressore?,,beclometazone,tacrolimus,cromoglicato di sodio,rosiglitazone,E
16,Il deficit di quale proteina della coagulazione si associa ad emorragia:,,,,,,
17,"Condizioni in cui e' richiesto un aumento del dosaggio della levotiroxina
nella terapia dell'ipotiroidismo:",,terapia con solfato ferroso,terapia con rifampicina,gravidanza,tutte le elencate,E
18,"Complicanze mediche della cardiopatia congenita cianotizzante includone
tutte le seguenti tranne",,anemia grave,colelitiasi,alterazione della funzione renale,alterata emostasi,E
19,"Nelle Residenze Sanitarie Assistenziali (RSA) vengono generalmente
ricoverati soggetti:",lzheimer,Lievemente disabili e con buon supporto familiare,on problemi di povertà,Solo con grave demenza di,,E
20,"Combinazione di anemia e storia familiare positiva per calcolosi biliare in
eta' giovanile suggerisce:",,tratto alfa talassemico,deficit di ferro,sferocitosi ereditaria,emoglobinuria parossistica notturna,E
21,I cheloidi:,,sono cicatrici anomale che si estendono oltre i limiti della ferita,sono cicatrici ipoplasiche,sono delle neoformazioni cutanee pigmentate frequenti nei giovani,"sono delle forme cicatriziali che vengono facilmente trattate in chirurgia
plastica con un buon esito",E
22,La tossicodipendenza da nicotina produce nell'uomo:,,dipendenza psichica,dimagrimento,dipendenza fisica,allucinazioni,E
23,La malattia di Wilson è dovuta ad una anomalia del metabolismo del,,rame,nickel,piombo,manganese,E
24,"Tutte le seguenti situazioni sono associate a rischio aumentato di
coronaropatia tranne:",,diabete mellito,alti livelli di colesterolo H,ipertensione arteriosa,fumo di sigarette,E
