,id,question,A,B,C,D,E,answer,category,macro category
0,1,"una donna di 42 anni, senza precedenti anamnestici importanti eccezion fatta per un taglio cesareo 12 anni prima,viene ricoverata d'urgenza per intensi dolori colici, vomito, distensione addominale ed alvo chiuso a feci e gas. la diretta addome in piedi evidenzia la presenza di livelli idro-aerei del piccolo intestino. verso quale causa di ostruzione intestinale ti orienti?",adenocarcinoma,malattia di crohn,sindrome aderenziale,ileo biliare,colite ulcerosa,C,Area Clinica 2019,chirurgia generale
1,2,"un paziente viene sottoposto ad intervento chirurgico per un sospetto di appendicite acuta. al momento dell'intervento l'appendice ed il cieco risultano normali. l'ileo terminale per una lunghezza di circa 30 cm appare arrossato, edematoso ed ispessito con scorrimento del grasso mesenteriale sull'ileo, tale da far ipotizzare una diagnosi di morbo di crohn. non c'è dilatazione dell'intestino prossimalmente all'area interessata. il resto dell'intestino tenue appare indenne. la condotta chirurgica più appropriata è:",chiusura dell'addome,appendicectomia profilattica,ileostomia prossimale al tratto interessato,ileo-trasversostomia latero-laterale,emicolectomia destra,B,Area Clinica 2019,chirurgia generale
2,3,"il trattamento chirurgico delle metastasi epatiche trova indicazione, con buona prospettiva prognostica, solo se:",il tumore primitivo e' <3 cm,il numero delle metastasi e' <2,la grandezza delle metastasi non deve superare i 3 cm,il numero delle metastasi è di 3,la grandezza non deve essere superiore a 5 cm,B,Area Clinica 2019,chirurgia generale
3,4,"quale, fra le seguenti, rappresenta l'indagine più adatta per la localizzazione dell'insulinoma?",splenoportografia,colangiografia retrograda,ecografia,arteriografia selettiva,scintigrafia,D,Area Clinica 2019,chirurgia generale
4,5,il linfonodo sentinella è quello che:,viene scoperto alla prima visita medica,e' clinicamente più vicino al tumore,si presenta metastatico all'esame estemporaneo,e' il primo linfonodo di drenaggio della linfa peritumorale,e' il linfonodo positivo più lontano dalla sede della neoplasia,D,Area Clinica 2019,chirurgia generale
5,6,si definisce ernia interna:,la dislocazione anomala dell'omento in recessi naturali o neoformati del cavo peritoneale,la dislocazione anomala di uno o più visceri in recessi naturali o neoformati del cavo peritoneale,la presenza di ernie in stadio assolutamente iniziale,la presenza di laparocele in stadio assolutamente iniziale,la presenza di un'ernia inguinale a livello dell'anello inguinale interno,B,Area Clinica 2019,chirurgia generale
6,7,"la comparsa dopo il pasto, in un paziente gastroresecato, di ipersudorazione, senso di calore, nausea, lipotimia, cefalea, deve far pensare a:",pancreatite acuta,dumping syndrome,stenosi pilorica,degenerazione neoplastica,ulcera anastomotica,B,Area Clinica 2019,chirurgia generale
7,8,"il sistema anastomotico portale include tutte le seguenti vene, tranne:",gastrica sinistra,paraombellicale,renale sinistra,emorroidaria superiore,mesenterica inferiore,C,Area Clinica 2019,chirurgia generale
8,9,la pancreatite acuta deve essere trattata chirurgicamente,in tutti i casi,in caso di necrosi,in caso di persistenza dell'iperamilasemia,in caso di necrosi infetta,quando la p.c.r. è superiore a 20,D,Area Clinica 2019,chirurgia generale
9,10,"un paziente di 60 anni presenta da tempo tosse stizzosa e febbricola irregolare. il primo esame che è necessario richiedere, al fine di stabilire la diagnosi è:",radiografia del torace,esame citologico dell'espettorato,tine test,broncoscopia,emocromo,A,Area Clinica 2019,chirurgia generale
10,11,il lobo di spigelio o lobo caudato del fegato corrisponde al:,i segmento,ii segmento,vi segmento,vii segmento,v segmento,A,Area Clinica 2019,chirurgia generale
11,12,di quale arteria e' ramo l'arteria emorroidaria superiore,arteria pudenda,arteria ipogastrica,arteria iliaca sinistra,arteria sigmoidea,arteria mesenterica inferiore,E,Area Clinica 2019,chirurgia generale
12,13,nella frattura del collo del femore l'arto si presenta clinicamente:,extraruotato ed accorciato,extraruotato ed allungato,intraruotato ed allungato,intraruotato ed accorciato,dritto ed allungato,A,Area Clinica 2019,chirurgia generale
