id,question,A,B,C,D,E,answer,category,macro category
43,"un chirurgo generale visita un paziente di 45 anni in eccellenti condizioni generali con un piccolo sanguinamento rettale. esegue anche una rettoscopia e trova a otto centimetri dal margine anale un polipo di due centimetri di diametro, liscio e dalla superficie vellutata. le biopsie eseguite dimostrano che la lesione è un adenoma villoso. come si comporterà ora il chirurgo?",eseguirà immediatamente una resezione-anastomosi del retto per via anteriore,coagulerà per via endoscopica la lesione,eseguirà una sigmoidoscopia con strumento flessibile,farà eseguire un clisma opaco,terrà il paziente sotto osservazione sottoponendolo periodicamente a biopsie,D,Area Clinica 2016,chirurgia generale
133,a quanti cm. dalla valvola ileo-cecale si reperta più frequentemente il diverticolo di meckel:,a 40 cm.,a 10 cm.,a 80 cm,a 1 metro,"a 1 ,5 metro",C,Area Clinica 2016,chirurgia generale
151,"donna di 90 anni con neoplasia di 3 cm. di diametro, localizzata al quadrante supero-esterno della mammella dx. senza evidenti metastasi a distanza. la paziente gode di un ottimo stato di salute, è autonoma nella sua vita di relazione e vive in famiglia. quale tra le seguenti è l'opzione terapeutica più ragionevole?",non si opera,si opera con mastectomia radicale conservando i muscoli pettorali,si esegue una mastectomia radicale conservando i muscoli pettorali ed una linfoadenectomia ascellare.,si esegue tumorectomia in anestesia locale,si esegue mastectomia sottocutanea,C,Area Clinica 2016,chirurgia generale
178,a quale dei seguenti requisiti risponde una neoplasia mammaria classificata allo stadio i?,neoplasia di grandezza variabile da 2 a 5 cm,assenza di linfonodi omolaterali palpabili,assenza di metastasi,a tutti i requisiti indicati,a nessuno dei requisiti indicati,D,Area Clinica 2016,chirurgia generale
230,il test di perthes valuta:,la pervietà del circolo venoso profondo,la continenza del circolo venoso superficiale,il flusso del circolo arterioso,la funzionalità del circolo linfatico,la continenza delle vene perforanti,A,Area Clinica 2016,chirurgia generale
267,un episodio di melena in un paziente portatore di un by-pass aorto-bi-femorale deve far sospettare come piu' probabile quale delle seguenti:,un'ulcera da stress,una fistola aorto-duodenale,infarto mesenterico,altra patologia emorragica gastro-enterica,diverticolo di meckel,B,Area Clinica 2016,chirurgia generale
317,le statine svolgono un effetto protettivo nei confronti dello sviluppo di polipi adenomatosi della mucosa colorettale. questa protezione e' direttamente correlata a :,durata del trattamento,) dosaggio del trattamento,durata e dosaggio del trattamento,"non e' correlata ne' al dosaggio , ne' alla durata",e' un'affermazione senza fondamento scientifico,C,Area Clinica 2016,chirurgia generale
323,quale dei seguenti non e' un segno / sintomo caratteristico di carcinoma del retto?,tenesmo rettale,modificazioni dell'alvo,rettorragia,tumefazione palpabile all'esame obiettivo dell'addome,senso di peso da corpo estraneo in sede rettale,C,Area Clinica 2016,chirurgia generale
397,"la cardioversione elettrica sincronizzata non ha indicazioni in tutte le seguenti condizioni, tranne che:",nella tachicardia ventricolare senza polso,nella fibrillazione elettrica,nella blocco a-v di ii° a tipo mobitz ii,nella flutter atriale,nella dissociazione elettromeccanica,D,Area Clinica 2016,chirurgia generale
442,quale di queste malattie non e' un'indicazione di trapianto al polmone:,adenocarcinoma,linfangioleiomiomatosi,enfisema,istiocitosi x,fibrosi cistica,A,Area Clinica 2016,chirurgia specialistica
569,la calcitonina:,è un ormone steroideo,è sintetizzata dalle cellule c della paratiroide,è un ormone ipercalcemizzante,è secreta in seguito a ipercalcemia,è secreta in seguito a ipocalcemia,D,Area Clinica 2016,chirurgia specialistica
589,l'osteofitosi marginale è una caratteristica radiologica frequente in:,artrosi,artrite reumatoide,meniscopatia,osteoartrite,neoplasia dell'osso,A,Area Clinica 2016,chirurgia specialistica
646,quale delle seguenti costituiscono le raccomandazioni previste da linee guida internazionali,eseguire mammografia a iniziare dall'età di 40 anni,eseguire colonscopia ogni 5 anni a iniziare dagli anni 50,misurare la colesterolemia totale all'età di 35 anni,fare screening oftalmologico annuale a partire dall'età di 50 anni,misurare a tutti la pressione arteriosa una volta l'anno,E,Area Clinica 2016,medicina interna
659,da alcuni mesi salvatore lamenta dispnea per sforzi in precedenza ben tollerati (brevi rampi di scale) ; da qualche settimana si sveglia spesso di notte con la sensazione di mancanza d'aria. da qualche tempo dorme con due grossi cuscini. a quale delle seguenti sindromi corrisponde il il quadro clinico descritto?,insufficienza ventricolare sinistra,scompenso cardiaco destro,crisi di panico,asma bronchiale,insufficienza coronarica,A,Area Clinica 2016,medicina interna
672,pe eritema si intende:,arrossamento della cute che scompare alla pressione digitale,arrossamento della cute che non scompare alla pressione digitale,arrossamento della cute con vescicole,una rilevatezza della cute circoscritta con edema,arrossamento della cute con prurito intenso,A,Area Clinica 2016,medicina interna
680,quale segno non si rileva nella stenosi mitralica?,soffio diastolico con rinforzo presistolico,polso celere,accentuazione del ii tono alla punta,acentuazione del ii tono alle basi,schiocco di apertura,B,Area Clinica 2016,medicina interna
686,"tutte le seguenti affermazioni che riguardano l'asma bronchiale sono corrette, tranne:",è una malattia infiammatoria della mucosa bronchiale,è una malattia cronica con riacutizzazioni scatenate da fattori diversi,è una malattia caratterizzata da accessi di dispnea e senso di costrizione toraci,è una malattia caratterizzata da broncospasmo reversibile,è una malattia che inevitabilmente si associa a scompenso cardiaco,E,Area Clinica 2016,medicina interna
739,"un giovane di 21 anni lamenta cefalea, polidipsia e poliuria : ha una ipopotassiemia ed elevati valori di renina plasmatica. la tac addominale dimostra la presenza di una massa di 2 cm adiacente o coinvolgente il polo superiore del rene destro; il sinistro è normale. la diagnosi più probabile è:",tumore delle cellule iuxtaglomerulari,carcinoma della corteccia surrenalica,feocromocitoma,aldosteronoma,carcinoma a cellula chiare,B,Area Clinica 2016,medicina interna
742,quale delle seguenti affermazioni è vera in un paziente con ipercalcemia da sarcoidosi?,la radiografia del torace è sempre normale,l'assorbimento intestinale di ca è aumentato,l'eliminazione urinaria di calcio è normale,i livelli di pth sierico sono elevati,è presente spesso ipogammaglobulinemia,B,Area Clinica 2016,medicina interna
769,tutte le seguenti sono cause di ipokaliemia tranne:,terapia con farmaci inibitori dela sistema renina-angiotensina,alcalosi metaboliche,sindrome di cushing,vomito persistente,terapia duretica,A,Area Clinica 2016,medicina interna
775,l'uso non terapeutico di steroidi androgeni anabolizzanti può causare:,infertilità,tumori epatici bengigni ed epatocarcinomi,psicosi maniacodepressiva,ictus,tutte le altre risposte indicate,E,Area Clinica 2016,medicina interna
798,"nella sincope vaso-vagale tutti i seguenti sintomi sono presenti, tranne:",dolore anginoso,sudorazione,iperistalsi,bradicardia,vascocostrizione cutanea,A,Area Clinica 2016,medicina interna
808,"quali dei seguenti gruppi di farmaci antipertensivi e' piu' corretto utilizzare all'inizio della terapia in un paziente, uomo, di 45 anni, che non presenta altre comorbilita'?",i calcio antagonisti,gli ace-i,i satanici,i beta-bloccanti,e' indifferente la classe di farmaci scelta purche' si raggiungano i livelli pressori target,E,Area Clinica 2016,medicina interna
810,nell'ipealdosteronismo all'iposodiemia si associa:,ipocalciemia,ipokaliemia,ipekaliemia,ipercalciemia,nessuna delle altre risposte,C,Area Clinica 2016,medicina interna
822,"uomo di 55 anni, obeso e iperteso con valori pressori non ben controllati dalla terapia medica; quali esami di accertamento diagnostico eseguiresti in prima battuta?",ecografia dell'addome,polisonnografia dinamica,monitoraggio pressorio delle 24 ore,"solo ""a"" e ""c""",tutti,E,Area Clinica 2016,medicina interna
848,la prescrizione dei farmaci per indicazioni non previste in scheda tecnica è possibile?,mai,talvolta,sempre,è consentita purchè la loro efficacia e tollerabilità sia scientificamente documentata,è consentita purchè la loro efficacia e tollerabilità sia scientificamente documentata e solo dopo aver acquisito il consenso scritto del paziente adeguatamente informato.,E,Area Clinica 2016,medicina interna
850,l'appropriatezza clinica è:,la misura in cui un particolare intervento è sia efficace sia indicato per la persona che lo riceve,la misura delle giornate di degenza o dei livelli di effettuazione,il tempo dedicato per una prestazione,tutte le altre risposte indicate,nessuna delle risposte indicate,A,Area Clinica 2016,medicina interna
854,il medico può rifiutare una certificazione ad un cittadino?,sì,talvolta,"no, non può rifiutare di rilasciare direttamente al cittadino certificati relativi al suo stato di salute e deve redigere tale certificazione valutando e attestando soltanto dati clinici che abbia direttamente constatato.",sì se mmg,sì se pediatra,C,Area Clinica 2016,medicina interna
900,quale dei seguenti sintomi è comunemente presente nel cancro del colon discendente?,incontinenza,tenesmo,diarrea o pseudodiarrea,malassorbimento,dolore addominale di tipo peristaltico,E,Area Clinica 2016,medicina interna
1113,tra le radiazioni elettromagnetiche quelle dalla cui esposizione derivano maggiori rischi sono :,le radiazioni ultraviolette,i raggi gamma,i raggi x,le radiazione infrarosse,i raggi laser,C,Area Clinica 2016,medicina legale e sanità pubblica
1361,quale delle seguenti lesioni elementari si possono osservare nella scabbia umana?,comedoni,noduli,chiazze vitiliginoidee,porpora,scutuli,B,Area Clinica 2016,medicina specialistica
1634,l'insufficienza ventricolare destra è secondaria a quale delle seguenti?,stenosi dell'istmo dell'aorta,insufficienza valvolare aortica,stenosi valvolare aortica,sarcoidosi polmonare cronica,ipertensione arteriosa grave,D,Area Clinica 2016,medicina specialistica
