id1,id2,category1,category2,c1,c2,question1,question2,similarity
2475,2485,Area Clinica 2016,Area Clinica 2016,un'improvvisa diplopia accompagnata da strabismo convergente è dovuta a: paralisi del vi nervo cranico paralisi del iii nervo cranico neurite retrobulbare acuta occlusione dell'arteria centrale della retina nevralgia del trigemino,una improvvisa diplopia accompagnata da strabismo convergente è dovuta a: paralisi del vi nervo cranico paralisi del iii nervo cranico neurite retrobulbare acuta occlusione dell'arteria centrale della retina nevralgia del trigemino,un'improvvisa diplopia accompagnata da strabismo convergente è dovuta a:,una improvvisa diplopia accompagnata da strabismo convergente è dovuta a:,1.0000000000000004
397,395,Area Clinica 2016,Area Clinica 2017,"la cardioversione elettrica sincronizzata non ha indicazioni in tutte le seguenti condizioni, tranne che: nella tachicardia ventricolare senza polso nella fibrillazione elettrica nella blocco a-v di ii° a tipo mobitz ii nella flutter atriale nella dissociazione elettromeccanica","la cardioversione elettrica sincronizzata non ha indicazioni in tutte le seguenti condizioni, tranne che: nella tachicardia ventricolare senza polso nella fibrillazione elettrica nel blocco a-v di ii° a tipo mobitz ii nel flutter atriale nella dissociazione elettromeccanica","la cardioversione elettrica sincronizzata non ha indicazioni in tutte le seguenti condizioni, tranne che:","la cardioversione elettrica sincronizzata non ha indicazioni in tutte le seguenti condizioni, tranne che:",1.0000000000000004
654,653,Area Clinica 2017,Area Clinica 2019,da alcuni mesi salvatore lamenta dispnea per sforzi in precedenza ben tollerati (brevi rampe di scale) ; da qualche settimana si sveglia spesso di notte con la sensazione di mancanza d'aria. da qualche tempo dorme con due grossi cuscini. a quale delle seguenti sindromi corrisponde il il quadro clinico descritto? insufficienza ventricolare sinistra scompenso cardiaco destro crisi di panico asma bronchiale insufficienza coronarica,da alcuni mesi salvatore lamenta dispnea per sforzi in precedenza ben tollerati (brevi rampe di scale) ; da qualche settimana si sveglia spesso di notte con la sensazione di mancanza d'aria. da qualche tempo dorme con due grossi cuscini. a quale delle seguenti sindromi corrisponde il quadro clinico descritto? insufficienza ventricolare sinistra scompenso cardiaco destro crisi di panico asma bronchiale insufficienza coronarica,da alcuni mesi salvatore lamenta dispnea per sforzi in precedenza ben tollerati (brevi rampe di scale) ; da qualche settimana si sveglia spesso di notte con la sensazione di mancanza d'aria. da qualche tempo dorme con due grossi cuscini. a quale delle seguenti sindromi corrisponde il il quadro clinico descritto?,da alcuni mesi salvatore lamenta dispnea per sforzi in precedenza ben tollerati (brevi rampe di scale) ; da qualche settimana si sveglia spesso di notte con la sensazione di mancanza d'aria. da qualche tempo dorme con due grossi cuscini. a quale delle seguenti sindromi corrisponde il quadro clinico descritto?,1.0000000000000002
400,398,Area Clinica 2016,Area Clinica 2019,un'anestetico locale viene addizionato in soluzione ad epinefrina 1:200.000 allo scopo di determinare: una ridotta estensione del blocco sensoriale una maggiore durata del blocco sensoriale una potenziamento del blocco motorio una minor rischio di ipotensione arteriosa una tutti gli effetti citati,un'anestetico locale viene addizionato in soluzione ad epinefrina 1:200.000 allo scopo di determinare: una ridotta estensione del blocco sensoriale una maggiore durata del blocco sensoriale un potenziamento del blocco motorio un minor rischio di ipotensione arteriosa tutti gli effetti citati,un'anestetico locale viene addizionato in soluzione ad epinefrina 1:200.000 allo scopo di determinare:,un'anestetico locale viene addizionato in soluzione ad epinefrina 1:200.000 allo scopo di determinare:,1.0000000000000002
132,131,Area Clinica 2016,Area Clinica 2018,"di fronte a una paziente con stillicidio ematico del capezzolo, qual'è l'esame di prima scelta che è più indicato eseguire: ecografia mammaria duttogalattografia mammografia agoaspirato della lesione palpabile tac","di fronte a una paziente con stillicidio ematico del capezzolo, qual è l'esame di prima scelta che è più indicato eseguire: ecografia mammaria duttogalattografia mammografia agoaspirato della lesione palpabile tac","di fronte a una paziente con stillicidio ematico del capezzolo, qual'è l'esame di prima scelta che è più indicato eseguire:","di fronte a una paziente con stillicidio ematico del capezzolo, qual è l'esame di prima scelta che è più indicato eseguire:",1.0000000000000002
2872,2882,Area Clinica 2016,Area Clinica 2016,"un aumentato rischio di osteoporosi avviene con tutte le seguenti, tranne: amenorrea atletica anoressia eparina sindrome dell'ovaio policistico sindrome di turner","un aumentato rischio di osteoporosi avviene in tutte le seguenti, tranne: eparina sindrome dell'ovaio policistico anoressia sindrome di turner amenorrea atletica","un aumentato rischio di osteoporosi avviene con tutte le seguenti, tranne:","un aumentato rischio di osteoporosi avviene in tutte le seguenti, tranne:",1.0000000000000002
2989,2972,Area Clinica 2016,Area Clinica 2017,"tutte le seguenti affermazioni sul calo ponderale nei primi giorni di vita sono corrette, tranne: può essere anche del 15% nel pretermine e' dovuto alla abbondante perdita di meconio e di liquidi e' dovuto alla relativa carenza calorica dei primi 2-3 giorni il peso della nascita deve essere recuperato entro il 5° giorno di vita* si considera fisiologico un calo fino a circa il 10% del peso della nascita","tutte le seguenti affermazioni sul calo ponderale nei primi giorni di vita sono corrette, tranne: può essere anche del 15% nel pretermine e' dovuto alla abbondante perdita di meconio e di liquidi e' dovuto alla relativa carenza calorica dei primi 2-3 giorni il peso della nascita deve essere recuperato entro il 5° giorno di vita si considera fisiologico un calo fino a circa il 10% del peso della nascita","tutte le seguenti affermazioni sul calo ponderale nei primi giorni di vita sono corrette, tranne:","tutte le seguenti affermazioni sul calo ponderale nei primi giorni di vita sono corrette, tranne:",1.0000000000000002
442,440,Area Clinica 2016,Area Clinica 2017,quale di queste malattie non e' un'indicazione di trapianto al polmone: adenocarcinoma linfangioleiomiomatosi enfisema istiocitosi x fibrosi cistica,quale di queste malattie non e' un'indicazione al trapianto al polmone: adenocarcinoma linfangioleiomiomatosi enfisema istiocitosi x fibrosi cistica,quale di queste malattie non e' un'indicazione di trapianto al polmone:,quale di queste malattie non e' un'indicazione al trapianto al polmone:,1.0000000000000002
506,504,Area Clinica 2016,Area Clinica 2019,"un uomo di 28 anni, altrimenti sano, va dal suo medico per un ingrandimento indolore del testicolo destro. ha iniziato ad avvertire una sensazione di pesantezza nell'emiscroto destro circa 6 mesi fa. l'esame obiettivo mostra un'ingrandimento diffuso del testicolo destro, ma è difficile determinare se questo è dovuto ad una lesione intratesticolare o extratesticolare. quale delle seguenti sarebbe il primo passo più appropriato da compiere per arrivare ad una diagnosi? tac scrotale determinazione dei livelli sierici di hcg, alfa fetoproteina e ldh ecografia scrotale ago biopsia orchiectomia inguinale","un uomo di 28 anni, altrimenti sano, va dal suo medico per un ingrandimento indolore del testicolo destro. ha iniziato ad avvertire una sensazione di pesantezza all'emiscroto destro circa 6 mesi fa. l'esame obiettivo mostra un'ingrandimento diffuso del testicolo destro, ma è difficile determinare se questo è dovuto ad una lesione intratesticolare o extratesticolare. quale delle seguenti sarebbe il primo passo più appropriato da compiere per arrivare ad una diagnosi? tac scrotale determinazione dei livelli sierici di hcg, alfa fetoproteina e ldh ecografia scrotale ago biopsia orchiectomia inguinale","un uomo di 28 anni, altrimenti sano, va dal suo medico per un ingrandimento indolore del testicolo destro. ha iniziato ad avvertire una sensazione di pesantezza nell'emiscroto destro circa 6 mesi fa. l'esame obiettivo mostra un'ingrandimento diffuso del testicolo destro, ma è difficile determinare se questo è dovuto ad una lesione intratesticolare o extratesticolare. quale delle seguenti sarebbe il primo passo più appropriato da compiere per arrivare ad una diagnosi?","un uomo di 28 anni, altrimenti sano, va dal suo medico per un ingrandimento indolore del testicolo destro. ha iniziato ad avvertire una sensazione di pesantezza all'emiscroto destro circa 6 mesi fa. l'esame obiettivo mostra un'ingrandimento diffuso del testicolo destro, ma è difficile determinare se questo è dovuto ad una lesione intratesticolare o extratesticolare. quale delle seguenti sarebbe il primo passo più appropriato da compiere per arrivare ad una diagnosi?",1.0000000000000002
313,311,Area Clinica 2016,Area Clinica 2018,qual'e' la percentuale di tumori della mammella sovra-diagnosticati (in altre parole: la percentuale di tumori scoperti allo screening che non avrebbero mai dato luogo a sintomatologia clinica)? 31% 21% 11% 1% 5%,qual e' la percentuale di tumori della mammella sovra-diagnosticati (in altre parole: la percentuale di tumori scoperti allo screening che non avrebbero mai dato luogo a sintomatologia clinica)? 31% 21% 11% 1% 5%,qual'e' la percentuale di tumori della mammella sovra-diagnosticati (in altre parole: la percentuale di tumori scoperti allo screening che non avrebbero mai dato luogo a sintomatologia clinica)?,qual e' la percentuale di tumori della mammella sovra-diagnosticati (in altre parole: la percentuale di tumori scoperti allo screening che non avrebbero mai dato luogo a sintomatologia clinica)?,1.0000000000000002
272,270,Area Clinica 2016,Area Clinica 2018,"in caso di emorragia postoperatoria di una tiroidectomia, l'ematoma conseguente si espande al di dietro dei muscoli lunghi del collo e puo' deformare la trachea e minacciare la pervieta' delle vie respiratorie sia per compressione che per edema laringeo. in assenza di evidenti segni di asfissia, qual' e' il procedimento da attuare? non fare alcunche' ed osservare l'evoluzione portare tempestivamente il paziente in sala operatoria per esplorare la loggia tiroidea e procedere ad una corretta emostasi mettere i drenaggi in aspirazione procedere immediatamente ad una tracheotomia al letto del paziente far saltare i punti della ferita chirurgica al letto del paziente","in caso di emorragia postoperatoria di una tiroidectomia, l'ematoma conseguente si espande al di dietro dei muscoli lunghi del collo e puo' deformare la trachea e minacciare la pervieta' delle vie respiratorie sia per compressione che per edema laringeo. in assenza di evidenti segni di asfissia, qual e' il procedimento da attuare? non fare alcunche' ed osservare l'evoluzione portare tempestivamente il paziente in sala operatoria per esplorare la loggia tiroidea e procedere ad una corretta emostasi mettere i drenaggi in aspirazione procedere immediatamente ad una tracheotomia al letto del paziente far saltare i punti della ferita chirurgica al letto del paziente","in caso di emorragia postoperatoria di una tiroidectomia, l'ematoma conseguente si espande al di dietro dei muscoli lunghi del collo e puo' deformare la trachea e minacciare la pervieta' delle vie respiratorie sia per compressione che per edema laringeo. in assenza di evidenti segni di asfissia, qual' e' il procedimento da attuare?","in caso di emorragia postoperatoria di una tiroidectomia, l'ematoma conseguente si espande al di dietro dei muscoli lunghi del collo e puo' deformare la trachea e minacciare la pervieta' delle vie respiratorie sia per compressione che per edema laringeo. in assenza di evidenti segni di asfissia, qual e' il procedimento da attuare?",1.0000000000000002
323,321,Area Clinica 2016,Area Clinica 2017,quale dei seguenti non e' un segno / sintomo caratteristico di carcinoma del retto? tenesmo rettale modificazioni dell'alvo rettorragia tumefazione palpabile all'esame obiettivo dell'addome senso di peso da corpo estraneo in sede rettale,quale dei seguenti non e' un segno / sintomo caratteristico di carcinoma del retto? tenesmo rettale modificazioni dell'alvo rettorragia tumefazione palpabile all'esame obiettivo dell'addome senso di peso da corpo estraneo in sede rettale,quale dei seguenti non e' un segno / sintomo caratteristico di carcinoma del retto?,quale dei seguenti non e' un segno / sintomo caratteristico di carcinoma del retto?,1.0
499,2962,Area Clinica 2016,Area Clinica 2019,quale è il gold standard della diagnosi della malattia di hirschsprung? biopsia rettale manometria anorettale clisma opaco ecografia addominale ph-metria,"quale è il ""gold standard"" per fare diagnosi della malattia di hirschsprung? ph-metria clisma opaco biopsia rettale ecografia addominale manometria anorettale",quale è il gold standard della diagnosi della malattia di hirschsprung?,"quale è il ""gold standard"" per fare diagnosi della malattia di hirschsprung?",1.0
317,315,Area Clinica 2016,Area Clinica 2017,"le statine svolgono un effetto protettivo nei confronti dello sviluppo di polipi adenomatosi della mucosa colorettale. questa protezione e' direttamente correlata a : durata del trattamento ) dosaggio del trattamento durata e dosaggio del trattamento non e' correlata ne' al dosaggio , ne' alla durata e' un'affermazione senza fondamento scientifico","le statine svolgono un effetto protettivo nei confronti dello sviluppo di polipi adenomatosi della mucosa colorettale. questa protezione e' direttamente correlata a : durata del trattamento dosaggio del trattamento durata e dosaggio del trattamento non e' correlata ne' al dosaggio , ne' alla durata e' un'affermazione senza fondamento scientifico",le statine svolgono un effetto protettivo nei confronti dello sviluppo di polipi adenomatosi della mucosa colorettale. questa protezione e' direttamente correlata a :,le statine svolgono un effetto protettivo nei confronti dello sviluppo di polipi adenomatosi della mucosa colorettale. questa protezione e' direttamente correlata a :,1.0
2614,2599,Area Clinica 2016,Area Clinica 2017,"la tonsillite ""pseudomembranosa"" si osserva, oggi, nell'ambito di quale quadro morboso: morbillo mononucleosi infettiva insufficienza renale morbo di basedow sinusite mascellare","la tonsillite ""pseudomembranosa"" si osserva, oggi, nell'ambito di quale quadro morboso: morbillo mononucleosi infettiva insufficienza renale morbo di basedow sinusite mascellare","la tonsillite ""pseudomembranosa"" si osserva, oggi, nell'ambito di quale quadro morboso:","la tonsillite ""pseudomembranosa"" si osserva, oggi, nell'ambito di quale quadro morboso:",1.0
572,569,Area Clinica 2016,Area Clinica 2019,cosa si intende per malattia di de quervain? tenosinovite cronica stenosante della guaina comune dei muscoli: breve estensore e lungo abduttore del pollice tenosinoviti reumatiche transitorie delle guaine dei flessori e degli estensori delle dita della mano necrosi asettica dello scafoide flemmone profondo sotto-aponeurotico che interessa le guaine dei flessori delle dita sinostosi congenita fra le ossa delle prima filiera del carpo,cosa si intende per malattia di de quervain? tenosinovite cronica stenosante della guaina comune dei muscoli breve estensore e lungo abduttore del pollice tenosinoviti reumatiche transitorie delle guaine dei flessori e degli estensori delle dita della mano necrosi asettica dello scafoide flemmone profondo sotto-aponeurotico che interessa le guaine dei flessori delle dita sinostosi congenita fra le ossa delle prima filiera del carpo,cosa si intende per malattia di de quervain?,cosa si intende per malattia di de quervain?,0.9999999999999999
3119,3101,Area Clinica 2016,Area Clinica 2017,"una ragazza di 12 anni sviluppa ittero, tremori progressivi e labilita' emotiva. quale delle seguenti piu' probabilmente potresti trovare nel corso dell'esame obiettivo? circonferenza cranica maggiore del 95mo percentile discolorazione marrone della regione limbica della cornea sordita' di trasmissione bilaterale linfoadenopatia generalizzata un ciuffo di capelli e fovea sacrale","una ragazza di 12 anni sviluppa ittero, tremori progressivi e labilita' emotiva. quale delle seguenti condizioni piu' probabilmente potresti trovare nel corso dell'esame obiettivo? circonferenza cranica maggiore del 95mo percentile discolorazione marrone della regione limbica della cornea sordita' di trasmissione bilaterale linfoadenopatia generalizzata un ciuffo di capelli e fovea sacrale","una ragazza di 12 anni sviluppa ittero, tremori progressivi e labilita' emotiva. quale delle seguenti piu' probabilmente potresti trovare nel corso dell'esame obiettivo?","una ragazza di 12 anni sviluppa ittero, tremori progressivi e labilita' emotiva. quale delle seguenti condizioni piu' probabilmente potresti trovare nel corso dell'esame obiettivo?",0.9949607234494353
1784,1769,Area Clinica 2016,Area Clinica 2018,"quali sono i componenti del sistema meccanico di difesa polmonare? sistema mucoregolatore, suddivisione dicotomica dei bronchi architettura anatomica dicotomica, ipersecrezione di muco, epitelio prismatico con cilia vibratili architettura anatomica dicotomica, sistema mucoregolatore, epitelio prismatico con cilia vibratili architettura anatomica dicotomica, sistema mucoregolatore, epitelio cubico architettura anatomica dicotomica, ipersecrezione di muco, epitelio cubico","quali sono i componenti del sistema meccanico di difesa polmonare? sistema mucoregolatore, suddivisione dicotomica dei bronchi architettura anatomica dicotomica, ipersecrezione di muco, epitelio prismatico con cilia vibratili sistema mucoregolatore, epitelio prismatico con cilia vibratili architettura anatomica dicotomica, sistema mucoregolatore, epitelio cubico architettura anatomica dicotomica, ipersecrezione di muco, epitelio cubico",quali sono i componenti del sistema meccanico di difesa polmonare?,quali sono i componenti del sistema meccanico di difesa polmonare?,0.991735389826041
1356,1344,Area Clinica 2016,Area Clinica 2018,qual'e' la localizzazione piu' frequente di una lesione luetica primaria nella donna? superficie interna grandi labbra orificio anale portio parete vaginale posteriore superficie mediale coscia,quale è la localizzazione piu' frequente di una lesione luetica primaria nella donna? superficie interna grandi labbra orificio anale portio parete vaginale posteriore superficie mediale coscia,qual'e' la localizzazione piu' frequente di una lesione luetica primaria nella donna?,quale è la localizzazione piu' frequente di una lesione luetica primaria nella donna?,0.9910845534302005
1634,1624,Area Clinica 2016,Area Clinica 2017,l'insufficienza ventricolare destra è secondaria a quale delle seguenti? stenosi dell'istmo dell'aorta insufficienza valvolare aortica stenosi valvolare aortica sarcoidosi polmonare cronica ipertensione arteriosa grave,l'insufficienza ventricolare destra è secondaria a quale delle seguenti condizioni? stenosi dell'istmo dell'aorta insufficienza valvolare aortica stenosi valvolare aortica sarcoidosi polmonare cronica ipertensione arteriosa grave,l'insufficienza ventricolare destra è secondaria a quale delle seguenti?,l'insufficienza ventricolare destra è secondaria a quale delle seguenti condizioni?,0.9905507377037693
3221,3192,Area Clinica 2016,Area Clinica 2018,nella stadiazione locale del tumore del polmone qual e' l'indagine radiologica piu' indicata? scintigrafia polmonare tc torace senza mezzo di contrasto broncoscopia rx torace tc torace con mezzo di contrasto,nella stadiazione locale del tumore del polmone quale è l'indagine radiologica piu' indicata? scintigrafia polmonare tc torace senza mezzo di contrasto broncoscopia rx torace tc torace con mezzo di contrasto,nella stadiazione locale del tumore del polmone qual e' l'indagine radiologica piu' indicata?,nella stadiazione locale del tumore del polmone quale è l'indagine radiologica piu' indicata?,0.9902708470854367
