,id,question,A,B,C,D,E,answer,category,macro category
0,1,in una polmonite da staphylococcus aureus meticillino-resistente l'antibiotico di scelta è:,vancomicina,oxacillina,gentamicina,piperacillina,claritromicina,A,Area Preclinica 2018,farmacologia
1,2,i farmaci ipoglicemizzanti orali della classe delle sulfaniluree:,sono sempre impiegati in monoterapia,stimolano la secrezione di insulina e possono causare una grave ipoglicemia,sono indicati nel diabete giovanile (tipo i),"a differenza delle biguanidi, non necessitano della presenza di cellule beta pancreatiche funzionanti",possono antagonizzare l'effetto ipoglicemizzante delle biguanidi,B,Area Preclinica 2018,farmacologia
2,3,"quale tra i seguenti farmaci antidiabetici, determina ipoglicemia indirettamente?",glipizide,clorpropamide,tolbutamide,metformina,insulina lantus,D,Area Preclinica 2018,farmacologia
3,4,nello shock emorragico il trattamento iniziale consiste nell'infusione di:,cristalloidi,colloidi non proteici,albumina,mannitolo,protamina solfato,A,Area Preclinica 2018,farmacologia
4,5,indicare quale dei seguenti farmaci antitumorali non è un antimetabolita:,cisplatino,metotressato,5-fluorouracile,citarabina,6-mercaptopurina,A,Area Preclinica 2018,farmacologia
5,6,quale tra i seguenti farmaci può causare una grave agranulocitosi ?,clozapina,nizatidina,aloperidolo,olanzapina,codeina,A,Area Preclinica 2018,farmacologia
6,7,"a proposito di un farmaco diuretico (ovvero in grado di indurre negativizzazione del bilancio idroelettrolitico), quale tra i seguenti può considerarsi indice diretto della sua attività?",riduzione della pressione arteriosa.,riduzione dell'edema.,riduzione dell'incidenza di infarti del miocardio.,riduzione della mortalità.,aumento dell'escrezione di sodio.,E,Area Preclinica 2018,farmacologia
7,8,"quali dei seguenti farmaci non possono determinare, in seguito ad uso prolungato, tolleranza ?",betabloccanti,statine,diuretici dell'ansa,benzodiazepine,oppiacei,B,Area Preclinica 2018,farmacologia
8,9,quale delle seguenti condizioni può essere indicazione al trattamento farmacologico con inibitori delle monoamine ossidasi di tipo b (mao b)?,ipertensione che non risponde al trattamento con beta-bloccanti,vomito da chemioterapici,shock anafilattico,schizofrenia,malattia di parkinson,E,Area Preclinica 2018,farmacologia
9,10,quale delle seguenti affermazioni riguardanti le interazioni tra farmaci è corretta?,le interazioni tra farmaci non determinano variazione della risposta farmacologica,in seguito a un'interazione tra farmaci non può verificarsi una variazione della durata della risposta farmacologica,un farmaco non può modificare la biodisponibilità di un altro farmaco,un farmaco può interferire con l'escrezione di un altro farmaco,un farmaco non può interferire con il metabolismo di un altro farmaco,D,Area Preclinica 2018,farmacologia
