id,question,A,B,C,D,E,answer,category,macro category
58,quale dei seguenti fans ha minore potenziale gastrotossico?,acido acetil salicilico,diclofenac,indometacina,paracetamolo,sulindac,D,Area Preclinica 2016,farmacologia
96,la streptomicina si puo' efficacemente associare alla ampicillina nelle infezioni da (indicare la risposta corretta):,salmonella,streptococcus faecalis,mycobacterium tubercolosis,treponema,chlamidia,B,Area Preclinica 2016,farmacologia
148,nel trattamento di una faringite stafilococcica l'antibiotico da scegliere è:,fenossimetilpenicillina,rifampicina,tobramicina,cotrimossazolo,vancomicina,A,Area Preclinica 2016,farmacologia
151,"le seguenti caratteristiche sono proprie dei farmaci ""generici"" tranne:",sono prodotti industrialmente.,sono utili per molteplici patologie in quanto non specifici.,sono bioequivalenti rispetto alla specialità di riferimento.,non sono protetti da brevetto.,sono senza obbligo di prescrizione.,B,Area Preclinica 2016,farmacologia
166,le ricette ripetibili:,"sono relative ai farmaci elencati nelle tabelle i, ii e iii del d.p.r. 309/90.",possono essere utilizzate per 3 mesi e fino ad un massimo di 5 volte.,hanno validità massima di 10 giorni.,possono essere utilizzate una sola volta.,sono rilasciate solo da centri ospedalieri o specialistici.,B,Area Preclinica 2016,farmacologia
239,il mannitolo è:,un anticoagulante orale,un diuretico osmotico,un beta-bloccante,un calcio-antagonista,un antidoto che chela il piombo,B,Area Preclinica 2016,farmacologia
277,per effetto di primo passaggio si intende:,il primo effetto che un farmaco determina quando ha raggiunto la sede d'azione,gli effetti neurologici che un farmaco dà nel suo primo passaggio nel sistema nervoso centrale,l'estesa biotrasformazione che il farmaco subisce nel suo primo passaggio attraverso il fegato,l'estesa eliminazione del farmaco nel suo primo passaggio attraverso il rene,l'effeto intestinale di un farmaco somministrato per os,C,Area Preclinica 2016,farmacologia
378,quale tra queste affermazioni riguardante i fluorochinoloni non è vera?,sono antibiotici concentrazione dipendente,sono attivi contro i gram negativi,hanno una buona biodisponibilità orale,sono controindicati in età pediatrica,sono indicati nelle infezioni del tratto genito-urinario,B,Area Preclinica 2016,farmacologia
657,in quale processo gioca un ruolo essenziale la vitamina k?,prevenire le trombosi,biosintesi della protrombina e della proconvertina,mentenimento dell' integrita' della retina,prevenire la stasi biliare,trasporto di elettroni,B,Area Preclinica 2016,fisiologia
1076,"conoscendo il volume telediastolico, possiamo calcolare il volume di eiezione ventricolare sapendo:",la frequenza cardiaca,la contrattilita' ventricolare,il volume telesistolico,il postcarico,il ritorno venoso,A,Area Preclinica 2016,fisiologia
1104,l'aria dell'encefalo importante per la postura:,corteccia motoria,nuclei della base,tronco dell'encefalo,cervelletto,sistema limbico,C,Area Preclinica 2016,fisiologia
1155,per quale delle seguenti caratteristiche il nodo seno-atriale è il normale pacemaker del cuore rispetto al nodo atrio-ventricolare?,la sua posizione,la sua attività autogena di scarica,la sua innervazione,la sua frequenza di scarica intrinseca,l'ampiezza del suo potenziale d'azione,B,Area Preclinica 2016,fisiologia
1164,quali elementi vengono alterati dal blocco dell'attività dell'anidrasi carbonica a livello delle cellule dei tubuli renali?,aminoacidi,acido lattico,acqua,bicarbonati,carboidrati,B,Area Preclinica 2016,fisiologia
1228,l'adrenalina determina uno degli effetti farmacologici appresso indicati. indicare quale,ipoglicemia,iperglicemia,riduzione dei valori della pressione arteriosa sistolica,bradicardia,broncocostrizione,B,Area Preclinica 2016,fisiologia
1243,"un figlio di genitori consanguinei, rispetto a un figlio di genitori non imparentati, ha maggiori probabilità di:",avere figli malati,essere affetto da morbo di cooley,essere affetto da sindrome di down,essere affetto da distrofia muscolare di duchenne,essere affetto da corea di huntington,B,Area Preclinica 2016,fisiologia
1250,i figli di una coppia di primi cugini sani hanno un rischio aumentato di essere affetti da:,patologie cromosomiche,patologie mendeliane di tipo autosomico recessivo,patologie mendeliane di tipo autosomico dominante,infertilità primaria,patologie mitocondriali,B,Area Preclinica 2016,fisiologia
1316,"qual e' il rischio per una donna fenotipicamente sana e il cui padre e' affetto da emofilia a (malattia recessiva, legata al cromosoma x) di avere un figlio affetto dalla stessa malattia del nonno?",100%,75%,50%,25%,uguale a quella della popolazione,D,Area Preclinica 2016,fisiologia
1358,"un uomo di 48 anni al termine di un viaggio in corriera da parigi a roubaix per una strada tradizionale ad acciotolato, all'arrivo in albergo, manifesta dolore a sede lombo-iliaca sinistra, molto intenso, continuo con parossismi, irradiato anteriormente e medialmente fino allo scroto ed alla radice della coscia di sinistra con eliminazione di poca urina molto densa. qual è il primo sospetto diagnostico ?",diverticolite del colon discendente,colica renale sinistra,diverticolite di meckel,ipertrofia prostatica benigna,ca. del retto,B,Area Preclinica 2016,fisiologia
1430,l'assenza del riflesso corneale puo' essere associata ad una lesione:,del iii° nervo cranico,del sistema afferente del vii° nervo cranico,del ii° nervo cranico,del tratto ottico,del sistema afferente del v° nervo cranico,E,Area Preclinica 2016,fisiologia
