id1,id2,category1,category2,c1,c2,question1,question2,similarity
1788,1778,Area Preclinica 2016,Area Preclinica 2017,la tunica albuginea riveste ...? testicolo epididimo scroto cordone ombelicale uretere,la tunica albuginea riveste ...? testicolo epididimo scroto cordone ombelicale uretere,la tunica albuginea riveste ...?,la tunica albuginea riveste ...?,1.0000000000000004
1430,1422,Area Preclinica 2016,Area Preclinica 2017,l'assenza del riflesso corneale puo' essere associata ad una lesione: del iii° nervo cranico del sistema afferente del vii° nervo cranico del ii° nervo cranico del tratto ottico del sistema afferente del v° nervo cranico,l'assenza del riflesso corneale puo' essere associata ad una lesione: del iii nervo cranico del sistema afferente del vii nervo cranico del ii nervo cranico del tratto ottico del sistema afferente del v nervo cranico,l'assenza del riflesso corneale puo' essere associata ad una lesione:,l'assenza del riflesso corneale puo' essere associata ad una lesione:,1.0000000000000002
3301,3281,Area Preclinica 2016,Area Preclinica 2017,il dipartimento di prevenzione (o di sanita' pubblica): e' una struttura autonoma direttamente gestita dalle regioni che si occupa di tutela della salute collettiva e' struttura operativa dell'usl che garantisce la tutela della salute collettiva e' una struttura di rilievo nazionale che si occupa di salute pubblica e protezione dell'ambiente e' ente senza autonomia organizzativa e contabile che emana ordinanze in materia di igiene e sanita' e' stato abolito dal d.lgs. 502/92 e successive modifiche,il dipartimento di prevenzione (o di sanita' pubblica): e' una struttura autonoma direttamente gestita dalle regioni che si occupa di tutela della salute collettiva e' una struttura operativa dell'usl che garantisce la tutela della salute collettiva e' una struttura di rilievo nazionale che si occupa di salute pubblica e protezione dell'ambiente e' un ente senza autonomia organizzativa e contabile che emana ordinanze in materia di igiene e sanita' e' stato abolito dal d.lgs. 502/92 e successive modifiche,il dipartimento di prevenzione (o di sanita' pubblica):,il dipartimento di prevenzione (o di sanita' pubblica):,1.0000000000000002
3218,3306,Area Preclinica 2016,Area Preclinica 2016,un fattore è considerato una causa sufficiente ma non necessaria di malattia se: la malattia si verifica sempre e solo se il fattore è presente il fattore è assente la malattia non può verificarsi il fattore è presente la malattia si verifica sempre la malattia si verifica anche in assenza di quel fattore nessuna delle risposte indicate è corretta,un fattore è considerato una causa necessaria ma non sufficiente di malattia se: la malattia si verifica sempre e solo se il fattore è presente il fattore è assente la malattia non può verificarsi il fattore è presente la malattia si verifica sempre la malattia si verifica anche in assenza di quel fattore nessuna delle risposte indicate è corretta,un fattore è considerato una causa sufficiente ma non necessaria di malattia se:,un fattore è considerato una causa necessaria ma non sufficiente di malattia se:,1.0000000000000002
367,363,Area Preclinica 2016,Area Preclinica 2018,"in base alle attuali linee guida internazionali, qual'e' il trattamento da utilizzare nei pazienti con embolia polmonare? eparina a basso peso molecolare con successiva embricazione della terapia anticoagulante orale, da proseguire per almeno sei mesi eparina a basso molecolare fino alla completa canalizzazione dei vasi venosi polmonari terapia anticoagulante orale per il mese successivo all'evento aspirina in associazione al clopidogrel terapia endovenosa con eparina non frazionata da sostituire ad una settimana dall'evento con aspirina","in base alle attuali linee guida internazionali, qual e' il trattamento da utilizzare nei pazienti con embolia polmonare? eparina a basso peso molecolare con successiva embricazione della terapia anticoagulante orale, da proseguire per almeno sei mesi eparina a basso molecolare fino alla completa canalizzazione dei vasi venosi polmonari terapia anticoagulante orale per il mese successivo all'evento aspirina in associazione al clopidogrel terapia endovenosa con eparina non frazionata da sostituire ad una settimana dall'evento con aspirina","in base alle attuali linee guida internazionali, qual'e' il trattamento da utilizzare nei pazienti con embolia polmonare?","in base alle attuali linee guida internazionali, qual e' il trattamento da utilizzare nei pazienti con embolia polmonare?",1.0000000000000002
378,375,Area Preclinica 2016,Area Preclinica 2017,quale tra queste affermazioni riguardante i fluorochinoloni non è vera? sono antibiotici concentrazione dipendente sono attivi contro i gram negativi hanno una buona biodisponibilità orale sono controindicati in età pediatrica sono indicati nelle infezioni del tratto genito-urinario,quale tra queste affermazioni riguardante i fluorochinoloni non è vera? sono antibiotici concentrazione dipendente sono attivi contro i gram negativi hanno una buona biodisponibilità orale sono controindicati in età pediatrica sono indicati nelle infezioni del tratto genito-urinario,quale tra queste affermazioni riguardante i fluorochinoloni non è vera?,quale tra queste affermazioni riguardante i fluorochinoloni non è vera?,1.0000000000000002
402,598,Area Preclinica 2016,Area Preclinica 2016,del colesterolo si può affermare che: non viene sintetizzato nell'uomo ma deve essere assunto con la dieta è solubile nel plasma in presenza di sodio rappresenta il precursore degli ormoni steroidei e degli acidi biliari è un metabolita del testosterone viene escreto del rene,si può affermare che il colesterolo: non viene sintetizzato nell'uomo ma deve essere assunto con la dieta rappresenta il precursore degli ormoni steroidei e degli acidi biliari è solubile nel plasma in presenza di sodio è un metabolita del testosterone viene escreto dal rene,del colesterolo si può affermare che:,si può affermare che il colesterolo:,1.0000000000000002
486,481,Area Preclinica 2016,Area Preclinica 2018,qual'è il precursore dell'ossido nitrico che si forma negli organismi superiori? dall'arginina dall'epsilon aminogruppo della lisina dagli aminoacidi diamino-monocarbossilici da alcune particolari proteine endocellulari dalla ossidazione dell'azoto ureico,qual è il precursore dell'ossido nitrico che si forma negli organismi superiori? dall'arginina dall'epsilon aminogruppo della lisina dagli aminoacidi diamino-monocarbossilici da alcune particolari proteine endocellulari dalla ossidazione dell'azoto ureico,qual'è il precursore dell'ossido nitrico che si forma negli organismi superiori?,qual è il precursore dell'ossido nitrico che si forma negli organismi superiori?,1.0000000000000002
831,825,Area Preclinica 2016,Area Preclinica 2019,quale delle seguenti situazioni è principalmente responsabile per la quota di estradiolo circolante nel uomo? secrezione dalle cellule di leydig secrezione dalle cellule del sertoli azione dell'aromatasi sui livelli circolanti degli androgeni azione dell'aromatasi sui livelli circolanti degli estrogeni secrezione dallo strato interno (reticularis) della corteccia surrenalica,quale delle seguenti situazioni è principalmente responsabile per la quota di estradiolo circolante nell'uomo? secrezione dalle cellule di leydig secrezione dalle cellule del sertoli azione dell'aromatasi sui livelli circolanti degli androgeni azione dell'aromatasi sui livelli circolanti degli estrogeni secrezione dallo strato interno (reticularis) della corteccia surrenalica,quale delle seguenti situazioni è principalmente responsabile per la quota di estradiolo circolante nel uomo?,quale delle seguenti situazioni è principalmente responsabile per la quota di estradiolo circolante nell'uomo?,1.0000000000000002
1929,1993,Area Preclinica 2016,Area Preclinica 2016,quali dei seguenti virus è causa di stomatiti gengivali? virus della varicella erpes simplex 2 virus epstein-barr erpes simplex 1 citomegalovirus,quale dei seguenti virus è causa di stomatiti gengivali? virus della varicella erpes simplex 2 virus epstein-barr erpes simplex 1 citomegalovirus,quali dei seguenti virus è causa di stomatiti gengivali?,quale dei seguenti virus è causa di stomatiti gengivali?,1.0000000000000002
