index,question,answer,macro_category,area,gemma,llama,mistral
0,in una polmonite da staphylococcus aureus meticillino-resistente l'antibiotico di scelta è:,A,farmacologia,Preclinica,A,A,A
1,i farmaci ipoglicemizzanti orali della classe delle sulfaniluree:,B,farmacologia,Preclinica,B,B,B
2,"quale tra i seguenti farmaci antidiabetici, determina ipoglicemia indirettamente?",D,farmacologia,Preclinica,D,D,D
3,nello shock emorragico il trattamento iniziale consiste nell'infusione di:,A,farmacologia,Preclinica,A,A,A
4,indicare quale dei seguenti farmaci antitumorali non è un antimetabolita:,A,farmacologia,Preclinica,A,A,A
5,quale tra i seguenti farmaci può causare una grave agranulocitosi ?,A,farmacologia,Preclinica,A,A,A
6,"a proposito di un farmaco diuretico (ovvero in grado di indurre negativizzazione del bilancio idroelettrolitico), quale tra i seguenti può considerarsi indice diretto della sua attività?",E,farmacologia,Preclinica,E,E,E
7,"quali dei seguenti farmaci non possono determinare, in seguito ad uso prolungato, tolleranza ?",B,farmacologia,Preclinica,B,B,B
8,quale delle seguenti condizioni può essere indicazione al trattamento farmacologico con inibitori delle monoamine ossidasi di tipo b (mao b)?,E,farmacologia,Preclinica,E,E,E
9,quale delle seguenti affermazioni riguardanti le interazioni tra farmaci è corretta?,D,farmacologia,Preclinica,D,D,D
10,a quale classe di farmaci appartiene il salbutamolo?,A,farmacologia,Preclinica,A,A,A
11,tutte le beta lattamine indicate sono resistenti alle beta lattamasi tranne,C,farmacologia,Preclinica,D,C,C
12,quali dei seguenti è un uso appropriato dell'imipramina?,C,farmacologia,Preclinica,C,C,C
13,quale dei seguenti antibiotici rappresenta una possibile alternativa alla rifampicina nei protocolli di associazione utilizzati nella terapia della tubercolosi polmonare?,C,farmacologia,Preclinica,C,C,C
14,l'inibizione enzimatica,D,farmacologia,Preclinica,D,D,D
15,quale dei sottoelencati antibiotici è attivo nei confronti dello haemophilus?,D,farmacologia,Preclinica,D,D,D
16,"indicare quale, tra quelli elencati, rappresenta un vantaggio della via di somministrazione sublinguale:",C,farmacologia,Preclinica,C,C,C
17,quale delle seguenti affermazioni relative all'antagonismo competitivo è corretta?,A,farmacologia,Preclinica,A,A,A
18,quale dei seguenti farmaci non determina nefrotossicità?,D,farmacologia,Preclinica,D,D,D
19,in quale delle seguenti condizioni il trattamento con corticoisteroidi non è indicato?,A,farmacologia,Preclinica,E,A,A
20,quale tra i seguenti non è un effetto indesiderato dell'aloperidolo?,E,farmacologia,Preclinica,E,D,D
21,quale tra i seguenti farmaci non è un agonista beta-adrenergico?,D,farmacologia,Preclinica,D,D,D
22,quale tra le seguenti classi di farmaci non è utilizzata nella cardiopatia ischemica?,A,farmacologia,Preclinica,A,A,A
23,indicare quale tra i seguenti effetti non è compreso tra quelli indotti dai glucocorticoidi:,B,farmacologia,Preclinica,B,B,B
24,"in assenza di agonisti, il pindololo causa un aumento della frequenza cardiaca mediato dall'attivazione dei recettori beta. tuttavia, in presenza di stimolanti del recettore beta, il pindololo causa una riduzione reversibile e dose-dipendente della frequenza cardiaca . pertanto il pindololo è un:",D,farmacologia,Preclinica,D,D,D
25,"i farmaci per la terapia dell'asma vengono somministrati per via inalatoria allo scopo di minimizzarne gli effetti sistemici. tutti i seguenti farmaci sono efficaci quando somministrati per questa via, tranne:",D,farmacologia,Preclinica,D,D,D
26,"nel caso in cui sia necessario sottoporre a trattamento farmacologico con fans un soggetto con pregressa ulcera peptica, è opportuno un trattamento combinato con:",B,farmacologia,Preclinica,B,B,B
