id,question,A,B,C,D,E,answer,category,macro category
1565,il legamento rotondo del fegato rappresenta il residuo di:,vene vitelline,arteria ombelicale destra,vena ombelicale,vena cardinale posteriore destra,arteria ombelicale sinistra,C,Area Preclinica 2016,morfologia
1232,i fattori di crescita sono:,proteine necessarie per la proliferazione cellulare,sostanze vitaminiche,fattori necessari all'accrescimento della catena polipeptidica,condizioni ambientali che favoriscono la crescita di una popolazione cellulare,fattori necessari alla maturazione della molecola di mrna,A,Area Preclinica 2016,fisiologia
1965,uno dei seguenti e' un antibiotico di scelta per la terapia della meningite da meningococco: indicare quale.,penicillina g,streptomicina,neomicina,bleomicina,colistina,A,Area Preclinica 2016,patologia
2651,quale delle seguenti condizioni è la causa più probabile di sanguinamento uterino disfunzionale in una donna di 28 anni con un esame obiettivo negativo e nessun altro problema?,sindrome dell'ovaio policistico,contraccettivi orali,dismenorrea fisiologica,neoplasia ginecologica,ipotiroidismo,A,Area Clinica 2016,ostetricia e ginecologia
2894,quale delle seguenti condizioni non rappresenta un fattore prognostico favorevole nella leucemia linfoblastica in età pediatrica?,età tra i 3 e 7 anni,sesso maschile,una conta dei globuli bianchi iniziali < 10.000/mm3,un valore di emoglobina < 7 g/dl,una conta delle piastrine > 100.000/mm3,B,Area Clinica 2016,pediatria
1526,quali tra i seguenti segni rappresentano gli elementi costitutivi della sindrome di claude-bernard-horner ?,"miosi, esoftalmo, ptosi palpebrale","miosi , enoftalmo, ptosi palpebrale","midriasi, esoftalmo, ptosi palpebrale","midriasi, enoftalmo, ptosi palpebrale","miosi, enoftalmo, dislalia",B,Area Preclinica 2016,fisiologia
85,le metastasi del cancro della prostata più frequenti sono a carico:,delle ossa del bacino e delle ultime vertebre lombari,del fegato,dell'encefalo,del polmone,pancreas,A,Area Clinica 2016,chirurgia generale
3143,le variazioni cromatiche delle ecchimosi seguono questo ordine:,rosso-rosso/violaceo-giallo-verde,rosso-rosso/violaceo-verde-giallo,rosso-bluastro-marrone-verde,rosso-arancio-giallo-pallido,nessuna delle risposte indicate,B,Area Preclinica 2016,prevenzione e deontologia medica
2018,quale di questi sintomi dell'insufficienza renale cronica é più sensibile alla correzione dell'acidosi:,diarrea,nausea e vomito,astenia muscolare,anemia,prurito,B,Area Clinica 2016,medicina specialistica
1688,tutti i seguenti elementi descrittivi del mediastino sono cirretti tranne:,il mediastino determina una separazione tra le regioni pleuro-polmonari.,la pleura mediastinica delimita le pareti laterali del mediastino.,il cuore occupa il mediastino.,"se entra aria nella cavità pleurica sinistra, le strutture che formano il mediastino si fletteranno verso destra.",il margine anteriore del mediastino si estende ad un livello inferiore a quello del margine posteriore.,E,Area Preclinica 2016,morfologia
3166,il codice di deontologia medica vigente è una raccolta di:,pareri medici,sanzioni amministrative,leggi e regolamenti,regole etiche e precetti professionali,sanzioni disciplinari,D,Area Preclinica 2016,prevenzione e deontologia medica
3198,"quale delle seguenti complicanze sarebbe inverosimile in una persona con bulimia nervosa, assumendo che non sono presenti altri disturbi psichiatrici?",peso inferiore al 75% del peso corporeo ideale (ibw),abuso di lassativi,esercizio pesante e prolungato,periodi di abbuffate durante le quali la persona non ha controllo,sesso femminile,A,Area Clinica 2016,pediatria
2183,nelle immunodeficienze secondarie una delle affermazioni indicate è vera: quale?,sono più rare delle forme primitive,sono più frequenti delle forme primitive,sono patologie rare e di prevalente interesse pediatrico,sono sempre irreversibili,sono caratterizzate da una elevata incidenza di fattori genetici,B,Area Clinica 2016,medicina specialistica
237,il trattamento astensionistico dei corpi estranei nell'albero tracheo-bronchiale è:,"accettabile per oggetti metallici, ma non per materiale vegetale","accettabile per materiale vegetale, ma non per oggetti metallici",sempre da evitare,più appropriato nei bambini che negli adulti,la prima fase del trattamento,C,Area Clinica 2016,chirurgia generale
1253,per quali delle seguenti malattie genetiche il rischio di avere un figlio affetto aumenta con l'eta' della madre?,malattie monofattoriali autosomiche,malattie monofattoriali legate al cromosoma x,anomalie cromosomiche di numero,anomalie cromosomiche di struttura,malattie multifattoriali,C,Area Preclinica 2016,fisiologia
103,i seguenti sono potenziali effetti collaterali dei diuretici tiazidici:,"ipokalemia, iperglicemia, iperlipidemia","ipokalemia, ototossicità, ipercalcemia","iperkalemia, alcalosi, nausea/vomito","aumento dell'azoto ureico plasmatico, iperkalemia, acidosi metabolica","ipermagnesemia, ipercalcemia, febbre",A,Area Preclinica 2016,farmacologia
2551,il tempo di protrombina (pt o tempo di quick) valuta:,la via estrinseca e comune della coagulazione,la via estrinseca della coagulazione,la via intrinseca e comune della coagulazione,la via comune della coagulazione,il numero di piastrine,B,Area Preclinica 2017,patologia
1880,le ghiandole endocrine riversano il loro secreto:,nei lumi ghiandolari,nei dotti escretori,nei capillari sanguigni,nelle fessure sinaptiche,nel sistema linfatico,C,Area Preclinica 2016,morfologia
103,quale tra i seguenti è il segno più frequente di cancro della vescica?,cistopielite recidivante,ritenzione acuta d'urina,ematuria,pollachiuria,stranguria,C,Area Clinica 2016,chirurgia generale
