original_index,question,answer,gemma_m,llama_m,mistral_m,total_errors_per_question,macro_category
6291,quale stazione linfonodale è più frequentemente interessata nel linfoma di hodgkin?,C,D,D,D,3,pediatria
6441,"un ragazzo di 14 mesi presenta eczema grave, una storia di otiti ricorrenti ed infezioni dei seni e trombocitopenia. quale delle seguenti e' la modalita' ereditaria di questa patologia?",B,A,A,C,3,pediatria
6472,quali delle seguenti non è una causa vera di ematuria?,D,C,C,C,3,pediatria
6525,una ragazza in seconda elementare mostra l'abilità intellettiva di una studentessa di 1° media. quale dei seguenti è il quoziente di intelligenza di questa ragazza?,E,D,C,C,3,pediatria
6351,i bambini affetti da obesita' semplice presentano piu' frequentemente:,D,A,A,A,3,pediatria
6465,quale delle seguenti dichiarazioni riguardanti le masse del collo in un bambino è falsa?,D,E,E,C,3,pediatria
6357,"il trattamento della chetoacidosi diabetica comprende tutte le seguenti misure, tranne:",A,E,E,D,3,pediatria
6455,un bambino di 8 mesi presenta vomito ed episodi di pianti inconsolabile per 12 ore. l'esame obiettivo mette in evidenza una massa a forma di salsiccia nel quadrante superiore destro dell'addome. quale delle seguenti sarebbe la piu' utile?,E,D,D,D,3,pediatria
6482,quali delle seguenti diagnosi è responsabile per un rigonfiamento scrotale indolore?,C,B,B,B,3,pediatria
6267,un bambino di 10 mesi con diarrea acuta grave e disidratazione ha assunto solo latte scremato bollito per i primi due giorni di diarrea. quale valore di sodiemia vi aspettate?,E,A,B,A,3,pediatria
6453,nel tuo ambulatorio segui un paziente con craniosinostosi e malformazione congenita di testa e faccia. quale delle seguenti altre malformazioni congenite piu' probabilmente troverai in questo paziente?,D,B,B,B,3,pediatria
6523,"un bambino viene portato dal suo pediatra per una visita di controllo. il bambino è capace di trasferire un oggetto da una mano all'altra, mantiene la posizione seduta, imita rumori di linguaggio e presenta un buon pinzamento pollice-indice. quale delle seguenti è l'età più probabile di questo bambino?",E,C,C,C,3,pediatria
6376,"la valutazione della crescita e dello sviluppo è fondamentale nel bambino. tutte delle seguenti affermazioni riguardanti un normale accrescimento sono corrette, tranne:",D,E,E,E,3,pediatria
6520,la persistenza dei riflessi neonatali è un indicatore di ritardo dello sviluppo. il riflesso di moro dovrebbe scomparire entro quale età?,C,B,B,B,3,pediatria
6485,un bambino di 4 anni viene ricoverato con disidratazione dovuta ad una malattia diarroica. quale delle seguenti sarebbe la tua prima linea di indagine diagnostica?,A,C,C,C,3,pediatria
6473,quali delle seguenti sarebbe più frequentemente associata con una pancreatite acuta?,D,B,B,B,3,pediatria
6420,a quale età si pratica la vaccinazione anti-papillomavirus?,A,B,B,B,3,pediatria
6491,un bambino di 3 anni si presenta dal suo medico curante con una tosse cronica che dura da un mese. precedentemente ha goduto di ottima salute dopo aver avuto una infezione severa da pertosse all'età di 1 mese. successivamente ha ricevuto tutte le vaccinazioni ma è stato notato che si trova sotto il 5° percentile (0.4 percentile) per l'altezza. quale delle seguenti sarebbe la causa più probabile della sua tosse ?,C,D,D,D,3,pediatria
6237,"quale, tra le seguenti, non è una complicanza della parotite?",A,D,D,D,3,pediatria
6497,per quale delle seguenti condizioni viene indicata la vaccinazione pneumococcica dopo i 2 anni d'età?,C,B,E,B,3,pediatria
6398,qual è delle seguenti terapie verrebbe consigliato per un bambino nato a termine con livello di bilirubina dopo 36 ore di 24 mg/dl?,E,C,C,C,3,pediatria
6229,"un bambino di 2 anni viene portato in pronto soccorso dopo che la mamma ha notato il passaggio di feci con sangue rosso. il bambino non lamenta dolori addomani, non ha febbre ne vomito. l'anamnesi familiare è positiva per la presenza di cancro del colon in alcuni zii paterni. al momento del ricovero l'ematocrito è 26%. quale delle seguenti è la diagnosi più probabile?",E,B,A,A,3,pediatria
6318,la prevenzione della trasmissione verticale del virus hiv si attua mediante:,E,C,C,C,3,pediatria
6407,"tutte le seguenti affermazioni circa l'esame obiettivo del neonato sono vere, tranne:",A,B,B,B,3,pediatria
6417,nella s. di turner quale dei seguenti segni o sintomi è assente?,E,C,C,C,3,pediatria
